rank,corpus,n_units,K_canon_used,phim_lvl_fragility,min_unit,max_unit,zero_dm_fraction,smallest_cov_eig
1,poetry_islami,465,3,0.164077269763383,0.16291483807776044,0.16784185919492783,0.0,0.00020017054151118618
2,poetry_abbasi,2823,3,0.13566457199784526,0.12868547160743501,0.1657069264582527,0.016666666666666666,0.00019777903224115672
3,poetry_jahili,133,3,0.11632368476984568,0.1087592426880227,0.15879970223648285,0.0,0.00016282437391611023
4,hindawi,74,3,0.09277461439330159,0.07677594525452977,0.10480761406664713,0.0,8.262686194068506e-05
5,arabic_bible,1183,3,0.06783013713568678,0.059335767450690136,0.07071955240319794,0.0,0.00018624834534998802
6,quran,114,3,0.062292715275471144,0.0594639938743914,0.06658393898147398,0.0,0.00031421667335030073
7,ksucca,41,3,0.022372526453557133,0.015544533271318304,0.022564609550272306,0.0,6.64238870686958e-05
