text,acoustic,r,p,rho,p_rho,n
syllable_count,Duration_s,0.9748604702321463,0.0,0.9692430826498416,0.0,5190
syllable_count,Mean_Pitch_Hz,-0.023782089454691416,0.08668850471398512,-0.05236761477085288,0.00016043785405833616,5190
syllable_count,Pitch_Variance,0.2179417791788497,7.617617303581474e-57,0.3125332201250499,5.725795068597457e-118,5190
syllable_count,Mean_Intensity_dB,-0.14524686856337077,7.204252843359681e-26,-0.17202548383683183,9.222845074921247e-36,5190
syllable_count,HNR_dB,0.028443937815210953,0.040455337511554966,0.013360142835970567,0.33589998295846796,5190
syllable_count,Spectral_Centroid_Hz,-0.027890851155071943,0.04451487698468556,-0.00562755151976255,0.6852396045365373,5190
syllable_count_full,Duration_s,0.9758368585916523,0.0,0.9709786212064513,0.0,5190
syllable_count_full,Mean_Pitch_Hz,-0.022135327672050065,0.1108292694678304,-0.04915778954171873,0.0003960571387425099,5190
syllable_count_full,Pitch_Variance,0.21823830468048,5.348713657747267e-57,0.3125060474832374,6.012815516564606e-118,5190
syllable_count_full,Mean_Intensity_dB,-0.1460952740764651,3.7205540569954615e-26,-0.17431456053136626,1.0925658862301698e-36,5190
syllable_count_full,HNR_dB,0.03313078654604621,0.016992176581270325,0.019245122366081648,0.1656721441246235,5190
syllable_count_full,Spectral_Centroid_Hz,-0.029559078565001812,0.03321810055074877,-0.009574426050091572,0.4904412670314322,5190
madd_count,Duration_s,0.711180748686609,0.0,0.6482701901585136,0.0,5190
madd_count,Mean_Pitch_Hz,-0.016996916474774575,0.22084681897296596,-0.022042452504339328,0.11233493230996983,5190
madd_count,Pitch_Variance,0.13356394444985079,4.322635612424457e-22,0.18812534737385855,1.4957074600444217e-42,5190
madd_count,Mean_Intensity_dB,-0.08421518221424193,1.229597308300312e-09,-0.09625170732981686,3.689299969412167e-12,5190
madd_count,HNR_dB,0.0691242481953614,6.209384936243177e-07,0.062534518342115,6.531288382980995e-06,5190
madd_count,Spectral_Centroid_Hz,-0.015302263781636767,0.27037499708859886,-0.01706008613037571,0.2191354723351924,5190
madd_count_full,Duration_s,0.8733358809519918,0.0,0.8517940596519467,0.0,5190
madd_count_full,Mean_Pitch_Hz,-0.011984392372123344,0.38802834536332387,-0.029291518032854267,0.034845104056647605,5190
madd_count_full,Pitch_Variance,0.1780923894876296,3.0294061475767144e-38,0.2559465670586956,2.0294635211345069e-78,5190
madd_count_full,Mean_Intensity_dB,-0.09739116335836717,2.046912534481462e-12,-0.11393692804852684,1.825066315592753e-16,5190
madd_count_full,HNR_dB,0.069078873319705,6.315574349711262e-07,0.06269885951044607,6.175520329435119e-06,5190
madd_count_full,Spectral_Centroid_Hz,-0.032453851825824144,0.019383002070163254,-0.0169983464913431,0.2208079723240529,5190
word_count,Duration_s,0.9684389398383769,0.0,0.9637261813598421,0.0,5190
word_count,Mean_Pitch_Hz,-0.023542993044274464,0.08990431357865562,-0.05080294942966295,0.0002508297602299054,5190
