text,acoustic,r,p,rho,p_rho,n
syllable_count,Duration_s,0.7613041469813346,3.999821489065975e-06,0.45951613682626385,0.01589371825986264,27
syllable_count,Mean_Pitch_Hz,0.25794531477550414,0.19393900663535038,0.3869771346249272,0.04614020422173575,27
syllable_count,Pitch_Variance,0.5463555995445893,0.0031938563796811465,0.611970988910429,0.000693211202937186,27
syllable_count,Mean_Intensity_dB,0.22600491158127572,0.25699181525805803,0.19978962470707123,0.317729668238777,27
syllable_count,HNR_dB,0.11412658459784049,0.5708394957510292,-0.10604218542144551,0.5985919263352091,27
syllable_count,Spectral_Centroid_Hz,-0.044804618301672566,0.8243867284396089,-0.021208437084289104,0.9163764623616821,27
syllable_count_full,Duration_s,0.7613398344135764,3.993198226018878e-06,0.44998770857100356,0.01851617371996092,27
syllable_count_full,Mean_Pitch_Hz,0.24411496520966064,0.21978277050158265,0.3780634436764579,0.051849859505214785,27
syllable_count_full,Pitch_Variance,0.5323994412577683,0.004253456980165854,0.5993688741212138,0.000953593906425604,27
syllable_count_full,Mean_Intensity_dB,0.23012645831145856,0.24818432866372556,0.19978962470707123,0.317729668238777,27
syllable_count_full,HNR_dB,0.10284305663794223,0.6097301849809686,-0.1112674525291689,0.5805885374496005,27
syllable_count_full,Spectral_Centroid_Hz,-0.04387645820639711,0.8279706770977774,-0.011987377482424273,0.9526790696679022,27
madd_count,Duration_s,0.7557986411427189,5.147837966872899e-06,0.6378001048433013,0.00034514016360146546,27
madd_count,Mean_Pitch_Hz,0.19409218266351608,0.3320080343206088,0.1525837571395458,0.4473756272927677,27
madd_count,Pitch_Variance,0.6136594422606879,0.0006635381165478035,0.49640582322732224,0.008446498374803196,27
madd_count,Mean_Intensity_dB,-0.24543716747239372,0.2172165933327431,-0.40587279399119175,0.035679619415358535,27
madd_count,HNR_dB,0.37827103909928994,0.0517108627755746,0.34178761599258256,0.08099686239571424,27
madd_count,Spectral_Centroid_Hz,-0.2888674327650056,0.14392283139802736,-0.3702699173252977,0.05728363219546668,27
madd_count_full,Duration_s,0.7136550965914217,2.9235590817311738e-05,0.37382907500678925,0.054749526421263746,27
madd_count_full,Mean_Pitch_Hz,0.25863326000439674,0.19271073243378847,0.4054511324403619,0.0358902630641532,27
madd_count_full,Pitch_Variance,0.5317744850922461,0.004307169800618906,0.558551984767263,0.0024612305432405177,27
madd_count_full,Mean_Intensity_dB,0.10405528631712176,0.6054994475097326,0.17658257814391048,0.3782715387780087,27
madd_count_full,HNR_dB,0.32208479106244653,0.10133694814734487,0.20538682847944198,0.3040765038818432,27
madd_count_full,Spectral_Centroid_Hz,-0.133355160208797,0.507255828642368,-0.0663750116427465,0.7422027664075465,27
word_count,Duration_s,0.683073367901646,8.621263900211841e-05,0.4164198479473532,0.030724601086353432,27
word_count,Mean_Pitch_Hz,0.145631589437976,0.4685779814529635,0.17984599720480746,0.3693786529366526,27
word_count,Pitch_Variance,0.4184623639569241,0.029832412104643907,0.45101760477531444,0.018216649747410357,27
word_count,Mean_Intensity_dB,0.31465010060823356,0.10992934514909604,0.3129382689664241,0.11198202379532535,27
word_count,HNR_dB,0.034228088808344395,0.8654129313626642,-0.21350867952390487,0.28492619980466727,27
word_count,Spectral_Centroid_Hz,0.008832057519982086,0.9651261162579012,0.09132561036569946,0.6505229080182122,27
char_count,Duration_s,0.7609961532779002,4.05739309425487e-06,0.4543380478881868,0.017277938941359636,27
char_count,Mean_Pitch_Hz,0.23507483893668965,0.23787483185571862,0.34664310320357955,0.07649940083942604,27
char_count,Pitch_Variance,0.529841722516415,0.0044769479852518985,0.5877329225543481,0.0012655226792143025,27
char_count,Mean_Intensity_dB,0.22721495533301983,0.2543851953387392,0.21386013163221723,0.2841152106863586,27
char_count,HNR_dB,0.09272367905721232,0.6455154090449625,-0.13981985716154974,0.4866945711793316,27
char_count,Spectral_Centroid_Hz,-0.028202419658758505,0.8889466132971909,0.019886850580964406,0.9215710855199517,27
emphatic_count,Duration_s,0.5868305905967561,0.0012930318985606057,0.0983271331902836,0.6255981322437111,27
emphatic_count,Mean_Pitch_Hz,0.2174310640359826,0.2759583654597678,0.3333693899259616,0.08926795727949378,27
emphatic_count,Pitch_Variance,0.3321535965346176,0.09051337448572536,0.30845086987088965,0.117497414851883,27
emphatic_count,Mean_Intensity_dB,0.11761641863458445,0.559040107195674,0.27679761466579833,0.16220024425790736,27
emphatic_count,HNR_dB,0.1050227038985235,0.6021319998176488,-0.27140982654578283,0.17086787860091393,27
emphatic_count,Spectral_Centroid_Hz,0.021534308499514772,0.9150961001006702,0.1441233322104157,0.47324562615734495,27
emphatic_count_full,Duration_s,0.6404724375901257,0.00031996066811811665,0.15422543493544483,0.44244482203329494,27
emphatic_count_full,Mean_Pitch_Hz,0.18430370400859303,0.35743050511306573,0.30979781690089353,0.11582131886745167,27
emphatic_count_full,Pitch_Variance,0.2576425466360294,0.19448128143854335,0.15557238196544873,0.43842113952390926,27
emphatic_count_full,Mean_Intensity_dB,0.1198921362453759,0.551406144700062,0.23840962431068768,0.2310895599633975,27
emphatic_count_full,HNR_dB,0.23615215724296676,0.23566854260132347,-0.24918520055071874,0.2100524841133791,27
emphatic_count_full,Spectral_Centroid_Hz,0.006505155409375924,0.9743105085080934,0.3225938136859305,0.10076758364297547,27
ghunnah_count,Duration_s,0.06257427073548939,0.7565123237588328,0.24455824286014044,0.21892017704594097,27
ghunnah_count,Mean_Pitch_Hz,-0.5525175852803352,0.0028033180151608213,-0.4929540615711531,0.008987211275809287,27
ghunnah_count,Pitch_Variance,-0.36483374414961633,0.06132971191345809,-0.4266686605106301,0.026456045945122696,27
ghunnah_count,Mean_Intensity_dB,0.2413813653339734,0.2251527683291105,0.10082358371837459,0.6168054489323436,27
ghunnah_count,HNR_dB,-0.0337112089370511,0.8674275426032488,-0.018141267658669472,0.9284370496950795,27
ghunnah_count,Spectral_Centroid_Hz,0.33604591253566196,0.0865718973659528,0.28188738977317185,0.15430242948960607,27
