surah_no,verse_no,text,n_letters_aligned,ctc_mean_score,t_start,t_end,char_count,word_count,syllable_count,madd_count,emphatic_count,ghunnah_count,syllable_count_full,madd_count_full,emphatic_count_full,Duration_s,Mean_Pitch_Hz,Pitch_Variance,Pitch_Range_Hz,Pitch_Voiced_Frames,Pitch_Total_Frames,Mean_Intensity_dB,HNR_dB,Mean_RMS,Spectral_Centroid_Hz,Spectral_Rolloff85_Hz,Silence_before_s
102,-1,أَعُوذُ بِاللَّهِ مِنَ الشَّيْطَانِ الرَّجِيمِ,46,-9.461302757263184,0.0,2.7800000000000002,46,5,14,0,1,0,14,3,1,2.78,191.65928531236776,18.872681046890815,123.31042792706901,231.0,275.0,72.55513719668288,13.120760819813793,0.12904804944992065,1976.6541429064948,3558.189655172414,0.0
102,1,بِسْمِ ٱللَّهِ ٱلرَّحْمَـٰنِ ٱلرَّحِيمِ أَلْهَىٰكُمُ ٱلتَّكَاثُرُ,64,-5.842386245727539,2.8000000000000003,9.36,65,6,20,2,0,0,20,4,0,6.56,167.145079373537,15.236276347340265,162.3157953211516,460.0,653.0,66.93712751503998,11.35195730010791,0.118049755692482,1831.3841865843,3326.1149878640776,0.020000000000000018
102,2,حَتَّىٰ زُرْتُمُ ٱلْمَقَابِرَ,29,-2.036996841430664,9.48,13.82,29,3,10,1,1,0,10,2,1,4.34,155.82412701754765,24.700991017643826,243.88027096240756,320.0,431.0,66.786092318415,13.087738918491864,0.0932798832654953,1604.2930066891165,3041.8772977941176,0.120000000000001
102,3,كَلَّا سَوْفَ تَعْلَمُونَ,25,-3.0748560428619385,13.94,18.1,25,3,8,0,0,0,8,2,0,4.16,194.16897738158397,11.643703234745882,50.028045939585155,337.0,413.0,70.41657753808315,12.254521769933323,0.12699387967586517,1715.4692592583322,3185.6512404580153,0.11999999999999922
102,4,ثُمَّ كَلَّا سَوْفَ تَعْلَمُونَ,31,-2.637086868286133,18.240000000000002,23.82,31,4,10,0,0,1,10,2,0,5.58,190.86208244918677,23.152073313056547,161.5401088235888,468.0,555.0,70.92189204481542,13.837508097478649,0.1170153021812439,1636.8174182428527,3161.5625,0.14000000000000057
102,5,كَلَّا لَوْ تَعْلَمُونَ عِلْمَ ٱلْيَقِينِ,41,-2.286417245864868,23.94,29.900000000000002,41,5,12,0,1,0,12,3,1,5.96,181.20095322696457,22.133070588333958,134.78762774737535,507.0,593.0,71.72340447569968,12.461050593447252,0.12496913969516754,1790.800408745841,3282.085561497326,0.120000000000001
102,6,لَتَرَوُنَّ ٱلْجَحِيمَ,22,-2.6269993782043457,30.04,33.94,22,2,8,0,0,1,8,1,0,3.9,168.85554760188748,44.25829337895753,410.62860579172764,309.0,387.0,67.94921798543521,13.36797998909067,0.09523101896047592,1607.8852720774694,3055.904200819672,0.13999999999999702
102,7,ثُمَّ لَتَرَوُنَّهَا عَيْنَ ٱلْيَقِينِ,38,-1.6945923566818237,34.08,41.06,38,4,13,0,1,2,13,2,1,6.98,186.08788249896875,11.142429120128586,64.50078719045882,617.0,695.0,70.86634171906874,15.006428611640743,0.1160389706492424,1615.6032154785335,3056.6495433789955,0.14000000000000057
102,8,ثُمَّ لَتُسْـَٔلُنَّ يَوْمَئِذٍ عَنِ ٱلنَّعِيمِ,45,-2.1966640949249268,41.2,49.8939375,47,5,15,0,0,4,16,1,0,8.6939375,164.71713099757037,17.713076583609265,92.08993937630665,743.0,866.0,68.85708188997451,14.241494906809967,0.09093159437179565,1755.4968716237224,3222.225413602941,0.14000000000000057
