surah_no,verse_no,pos_in_clean,original_idx,uthmani_char,vocab_char,start_s,end_s,fire_end_s,duration_s,fire_duration_s,ctc_score,is_emphatic,has_shadda,has_small_alif_after,has_madd_sign_after,has_sukun,following_vowel
56,-1,0,0,أ,أ,1.12,1.1600000000000001,1.1400000000000001,0.040000000000000036,0.020000000000000018,-16.539692,False,False,False,False,False,fatha
56,-1,1,1,َ,َ,1.1600000000000001,1.18,1.18,0.019999999999999796,0.019999999999999796,-13.240092,False,False,False,False,False,damma
56,-1,2,2,ع,ع,1.18,1.28,1.2,0.10000000000000009,0.020000000000000018,-17.234522,False,False,False,False,False,damma
56,-1,3,3,ُ,ُ,1.28,1.42,1.3,0.1399999999999999,0.020000000000000018,-17.453135,False,False,False,False,False,damma
56,-1,4,4,و,و,1.42,1.46,1.44,0.040000000000000036,0.020000000000000018,-15.614145,False,False,False,False,False,damma
56,-1,5,5,ذ,ذ,1.46,1.48,1.48,0.020000000000000018,0.020000000000000018,-15.540521,False,False,False,False,False,damma
56,-1,6,6,ُ,ُ,1.48,1.5,1.5,0.020000000000000018,0.020000000000000018,-15.723047,False,False,False,False,False,kasra
56,-1,7,7, ,|,1.5,1.52,1.52,0.020000000000000018,0.020000000000000018,-4.2915253e-06,False,False,False,False,False,kasra
56,-1,8,8,ب,ب,1.52,1.54,1.54,0.020000000000000018,0.020000000000000018,-15.833256,False,False,False,False,False,kasra
56,-1,9,9,ِ,ِ,1.54,1.56,1.56,0.020000000000000018,0.020000000000000018,-17.61448,False,False,False,False,False,none
56,-1,10,10,ا,ا,1.56,1.58,1.58,0.020000000000000018,0.020000000000000018,-0.01947882,False,False,False,False,False,none
56,-1,11,11,ل,ل,1.58,1.76,1.6400000000000001,0.17999999999999994,0.06000000000000005,-0.00014286936,False,True,False,False,False,fatha
56,-1,12,12,ل,ل,1.76,1.8,1.78,0.040000000000000036,0.020000000000000018,-1.2755313e-05,False,True,False,False,False,fatha
56,-1,13,13,ّ,ّ,1.8,1.82,1.82,0.020000000000000018,0.020000000000000018,-9.8487015,False,False,False,False,False,fatha
56,-1,14,14,َ,َ,1.82,2.06,1.84,0.24,0.020000000000000018,-6.3221254,False,False,False,False,False,kasra
56,-1,15,15,ه,ه,2.06,2.16,2.1,0.10000000000000009,0.040000000000000036,-0.11007699,False,False,False,False,False,kasra
56,-1,16,16,ِ,ِ,2.16,2.24,2.1799999999999997,0.08000000000000007,0.019999999999999574,-5.399103,False,False,False,False,False,kasra
56,-1,17,17, ,|,2.24,2.8200000000000003,2.2800000000000002,0.5800000000000001,0.040000000000000036,-0.00036357404,False,False,False,False,False,kasra
56,-1,18,18,م,م,2.8200000000000003,3.2,2.84,0.3799999999999999,0.019999999999999574,-0.00013398226,False,False,False,False,False,kasra
56,-1,19,19,ِ,ِ,3.2,3.6,3.22,0.3999999999999999,0.020000000000000018,-12.144631,False,False,False,False,False,fatha
56,-1,20,20,ن,ن,3.6,3.84,3.62,0.23999999999999977,0.020000000000000018,-10.413461,False,False,False,False,False,fatha
56,-1,21,21,َ,َ,3.84,4.859999999999999,3.86,1.0199999999999996,0.020000000000000018,-8.688804,False,False,False,False,False,none
56,-1,22,22, ,|,4.859999999999999,5.0,4.96,0.14000000000000057,0.10000000000000053,-1.2548637,False,False,False,False,False,none
56,-1,23,23,ا,ا,5.0,5.18,5.02,0.17999999999999972,0.019999999999999574,-14.955132,False,False,False,False,False,none
56,-1,24,24,ل,ل,5.18,5.300000000000001,5.199999999999999,0.120000000000001,0.019999999999999574,-11.039151,False,True,False,False,False,fatha
56,-1,25,25,ش,ش,5.300000000000001,5.32,5.32,0.019999999999999574,0.019999999999999574,-16.188473,False,True,False,False,False,fatha
56,-1,26,26,ّ,ّ,5.32,5.460000000000001,5.34,0.14000000000000057,0.019999999999999574,-16.933065,False,False,False,False,False,fatha
56,-1,27,27,َ,َ,5.460000000000001,5.48,5.48,0.019999999999999574,0.019999999999999574,-16.694366,False,False,False,False,True,sukun
56,-1,28,28,ي,ي,5.48,5.58,5.5,0.09999999999999964,0.019999999999999574,-15.470723,False,False,False,False,True,sukun
56,-1,29,29,ْ,ْ,5.58,5.84,5.6,0.2599999999999998,0.019999999999999574,-16.85877,False,False,False,False,False,fatha
56,-1,30,30,ط,ط,5.84,5.9,5.859999999999999,0.0600000000000005,0.019999999999999574,-0.3052993,True,False,False,False,False,fatha
56,-1,31,31,َ,َ,5.9,5.98,5.92,0.08000000000000007,0.019999999999999574,-9.371214,False,False,False,False,False,kasra
56,-1,32,32,ا,ا,5.98,6.300000000000001,6.0,0.3200000000000003,0.019999999999999574,-0.02799742,False,False,False,False,False,kasra
56,-1,33,33,ن,ن,6.300000000000001,6.380000000000001,6.32,0.08000000000000007,0.019999999999999574,-14.073139,False,False,False,False,False,kasra
56,-1,34,34,ِ,ِ,6.380000000000001,6.52,6.4,0.1399999999999988,0.019999999999999574,-0.883747,False,False,False,False,False,none
56,-1,35,35, ,|,6.52,6.84,6.58,0.3200000000000003,0.0600000000000005,-0.07056365,False,False,False,False,False,none
56,-1,36,36,ا,ا,6.84,8.6,6.859999999999999,1.7599999999999998,0.019999999999999574,-4.6967358e-05,False,False,False,False,False,none
56,-1,37,37,ل,ل,8.6,8.68,8.620000000000001,0.08000000000000007,0.02000000000000135,-1.7881233e-05,False,True,False,False,False,fatha
56,-1,38,38,ر,ر,8.68,8.8,8.7,0.120000000000001,0.019999999999999574,-11.765917,False,True,False,False,False,fatha
56,-1,39,39,ّ,ّ,8.8,8.98,8.82,0.17999999999999972,0.019999999999999574,-14.358759,False,False,False,False,False,fatha
56,-1,40,40,َ,َ,8.98,9.24,9.0,0.2599999999999998,0.019999999999999574,-14.109584,False,False,False,False,False,kasra
56,-1,41,41,ج,ج,9.24,9.28,9.26,0.03999999999999915,0.019999999999999574,-9.749356,False,False,False,False,False,kasra
56,-1,42,42,ِ,ِ,9.28,9.32,9.299999999999999,0.040000000000000924,0.019999999999999574,-8.496742,False,False,False,False,False,kasra
56,-1,43,43,ي,ي,9.32,9.36,9.36,0.03999999999999915,0.03999999999999915,-0.30241263,False,False,False,False,False,kasra
56,-1,44,44,م,م,9.36,9.44,9.379999999999999,0.08000000000000007,0.019999999999999574,-7.6863575,False,False,False,False,False,kasra
56,-1,45,45,ِ,ِ,9.44,9.4749375,9.459999999999999,0.034937499999999844,0.019999999999999574,-8.664823,False,False,False,False,False,none
56,1,0,0,ب,ب,9.2749375,9.2949375,9.2949375,0.019999999999999574,0.019999999999999574,-11.298962,False,False,False,False,False,kasra
56,1,1,1,ِ,ِ,9.2949375,9.3149375,9.3149375,0.019999999999999574,0.019999999999999574,-0.038182557,False,False,False,False,True,sukun
56,1,2,2,س,س,9.3149375,9.3349375,9.3349375,0.02000000000000135,0.02000000000000135,-11.350993,False,False,False,False,True,sukun
56,1,3,3,ْ,ْ,9.3349375,9.4749375,9.3549375,0.1399999999999988,0.019999999999999574,-10.048058,False,False,False,False,False,kasra
56,1,4,4,م,م,9.4749375,9.5349375,9.4949375,0.0600000000000005,0.02000000000000135,-12.511755,False,False,False,False,False,kasra
56,1,5,5,ِ,ِ,9.5349375,9.734937500000001,9.5549375,0.20000000000000107,0.019999999999999574,-15.218215,False,False,False,False,False,none
56,1,6,6, ,|,9.734937500000001,9.9149375,9.7549375,0.17999999999999972,0.019999999999999574,-9.787637,False,False,False,False,False,none
56,1,7,7,ٱ,ا,9.9149375,10.0149375,9.9349375,0.09999999999999964,0.019999999999999574,-0.12319056,False,False,False,False,False,none
56,1,8,8,ل,ل,10.0149375,10.2149375,10.0349375,0.1999999999999993,0.019999999999999574,-13.292919,False,True,False,False,False,fatha
56,1,9,9,ل,ل,10.2149375,10.2549375,10.234937500000001,0.040000000000000924,0.02000000000000135,-13.163144,False,True,False,False,False,fatha
56,1,10,10,ّ,ّ,10.2549375,10.2749375,10.2749375,0.019999999999999574,0.019999999999999574,-14.998861,False,False,False,False,False,fatha
56,1,11,11,َ,َ,10.2749375,10.394937500000001,10.2949375,0.120000000000001,0.019999999999999574,-13.9448595,False,False,False,False,False,kasra
56,1,12,12,ه,ه,10.394937500000001,10.5149375,10.4149375,0.11999999999999922,0.019999999999999574,-7.6293654e-06,False,False,False,False,False,kasra
56,1,13,13,ِ,ِ,10.5149375,10.7549375,10.5349375,0.2400000000000002,0.019999999999999574,-16.654318,False,False,False,False,False,none
56,1,14,14, ,|,10.7549375,11.0749375,10.7949375,0.3200000000000003,0.03999999999999915,-6.979439e-05,False,False,False,False,False,none
56,1,15,15,ٱ,ا,11.0749375,11.3349375,11.0949375,0.2599999999999998,0.019999999999999574,-0.00015436411,False,False,False,False,False,none
