surah_no,verse_no,pos_in_clean,original_idx,uthmani_char,vocab_char,start_s,end_s,fire_end_s,duration_s,fire_duration_s,ctc_score,is_emphatic,has_shadda,has_small_alif_after,has_madd_sign_after,has_sukun,following_vowel
88,-1,0,0,أ,أ,0.12,0.16,0.14,0.04000000000000001,0.020000000000000018,-15.597672,False,False,False,False,False,fatha
88,-1,1,1,َ,َ,0.16,0.18,0.18,0.01999999999999999,0.01999999999999999,-14.832685,False,False,False,False,False,damma
88,-1,2,2,ع,ع,0.18,0.3,0.2,0.12,0.020000000000000018,-17.159483,False,False,False,False,False,damma
88,-1,3,3,ُ,ُ,0.3,0.46,0.32,0.16000000000000003,0.020000000000000018,-18.650398,False,False,False,False,False,damma
88,-1,4,4,و,و,0.46,0.52,0.48,0.06,0.019999999999999962,-15.907252,False,False,False,False,False,damma
88,-1,5,5,ذ,ذ,0.52,0.54,0.54,0.020000000000000018,0.020000000000000018,-17.693539,False,False,False,False,False,damma
88,-1,6,6,ُ,ُ,0.54,0.58,0.56,0.039999999999999925,0.020000000000000018,-17.045385,False,False,False,False,False,kasra
88,-1,7,7, ,|,0.58,0.6,0.6,0.020000000000000018,0.020000000000000018,-5.0067774e-06,False,False,False,False,False,kasra
88,-1,8,8,ب,ب,0.6,0.62,0.62,0.020000000000000018,0.020000000000000018,-17.071047,False,False,False,False,False,kasra
88,-1,9,9,ِ,ِ,0.62,0.64,0.64,0.020000000000000018,0.020000000000000018,-16.157618,False,False,False,False,False,none
88,-1,10,10,ا,ا,0.64,0.7000000000000001,0.66,0.06000000000000005,0.020000000000000018,-7.110196,False,False,False,False,False,none
88,-1,11,11,ل,ل,0.7000000000000001,0.9,0.74,0.19999999999999996,0.039999999999999925,-0.0015701227,False,True,False,False,False,fatha
88,-1,12,12,ل,ل,0.9,0.9400000000000001,0.9400000000000001,0.040000000000000036,0.040000000000000036,-0.00031824977,False,True,False,False,False,fatha
88,-1,13,13,ّ,ّ,0.9400000000000001,1.0,0.98,0.05999999999999994,0.039999999999999925,-0.53083175,False,False,False,False,False,fatha
88,-1,14,14,َ,َ,1.0,1.36,1.02,0.3600000000000001,0.020000000000000018,-0.2662232,False,False,False,False,False,kasra
88,-1,15,15,ه,ه,1.36,1.44,1.3800000000000001,0.07999999999999985,0.020000000000000018,-0.00013183679,False,False,False,False,False,kasra
88,-1,16,16,ِ,ِ,1.44,1.52,1.48,0.08000000000000007,0.040000000000000036,-0.10501911,False,False,False,False,False,kasra
88,-1,17,17, ,|,1.52,2.3000000000000003,1.6,0.7800000000000002,0.08000000000000007,-0.04927716,False,False,False,False,False,kasra
88,-1,18,18,م,م,2.3000000000000003,2.9,2.32,0.5999999999999996,0.019999999999999574,-3.7669426e-05,False,False,False,False,False,kasra
88,-1,19,19,ِ,ِ,2.9,3.34,2.92,0.43999999999999995,0.020000000000000018,-0.0008573432,False,False,False,False,False,fatha
88,-1,20,20,ن,ن,3.34,3.42,3.36,0.08000000000000007,0.020000000000000018,-12.522802,False,False,False,False,False,fatha
88,-1,21,21,َ,َ,3.42,5.0200000000000005,3.46,1.6000000000000005,0.040000000000000036,-0.19660492,False,False,False,False,False,none
88,-1,22,22, ,|,5.0200000000000005,5.18,5.12,0.15999999999999925,0.09999999999999964,-0.09610401,False,False,False,False,False,none
88,-1,23,23,ا,ا,5.18,5.4,5.2,0.22000000000000064,0.020000000000000462,-17.245123,False,False,False,False,False,none
88,-1,24,24,ل,ل,5.4,5.68,5.44,0.27999999999999936,0.040000000000000036,-0.09722356,False,True,False,False,False,fatha
88,-1,25,25,ش,ش,5.68,5.72,5.7,0.040000000000000036,0.020000000000000462,-16.476597,False,True,False,False,False,fatha
88,-1,26,26,ّ,ّ,5.72,5.74,5.74,0.020000000000000462,0.020000000000000462,-13.815349,False,False,False,False,False,fatha
88,-1,27,27,َ,َ,5.74,5.76,5.76,0.019999999999999574,0.019999999999999574,-0.035550788,False,False,False,False,True,sukun
88,-1,28,28,ي,ي,5.76,5.78,5.78,0.020000000000000462,0.020000000000000462,-11.9198,False,False,False,False,True,sukun
88,-1,29,29,ْ,ْ,5.78,5.94,5.8,0.16000000000000014,0.019999999999999574,-19.050789,False,False,False,False,False,fatha
88,-1,30,30,ط,ط,5.94,6.0,5.96,0.05999999999999961,0.019999999999999574,-15.482427,True,False,False,False,False,fatha
88,-1,31,31,َ,َ,6.0,6.08,6.0200000000000005,0.08000000000000007,0.020000000000000462,-15.257569,False,False,False,False,False,kasra
88,-1,32,32,ا,ا,6.08,6.44,6.1000000000000005,0.3600000000000003,0.020000000000000462,-6.842379e-05,False,False,False,False,False,kasra
88,-1,33,33,ن,ن,6.44,6.5200000000000005,6.46,0.08000000000000007,0.019999999999999574,-14.163095,False,False,False,False,False,kasra
88,-1,34,34,ِ,ِ,6.5200000000000005,6.58,6.54,0.05999999999999961,0.019999999999999574,-13.133344,False,False,False,False,False,none
88,-1,35,35, ,|,6.58,6.6000000000000005,6.6000000000000005,0.020000000000000462,0.020000000000000462,-6.9141147e-06,False,False,False,False,False,none
88,-1,36,36,ا,ا,6.6000000000000005,6.7,6.62,0.09999999999999964,0.019999999999999574,-16.55079,False,False,False,False,False,none
88,-1,37,37,ل,ل,6.7,6.72,6.72,0.019999999999999574,0.019999999999999574,-15.161193,False,True,False,False,False,fatha
88,-1,38,38,ر,ر,6.72,6.76,6.74,0.040000000000000036,0.020000000000000462,-12.279168,False,True,False,False,False,fatha
88,-1,39,39,ّ,ّ,6.76,6.78,6.78,0.020000000000000462,0.020000000000000462,-15.467402,False,False,False,False,False,fatha
88,-1,40,40,َ,َ,6.78,6.98,6.8,0.20000000000000018,0.019999999999999574,-0.3217857,False,False,False,False,False,kasra
88,-1,41,41,ج,ج,6.98,7.0600000000000005,7.0,0.08000000000000007,0.019999999999999574,-14.278357,False,False,False,False,False,kasra
88,-1,42,42,ِ,ِ,7.0600000000000005,7.18,7.08,0.11999999999999922,0.019999999999999574,-0.0034716595,False,False,False,False,False,kasra
88,-1,43,43,ي,ي,7.18,7.82,7.2,0.6400000000000006,0.020000000000000462,-4.1603176e-05,False,False,False,False,False,kasra
88,-1,44,44,م,م,7.82,7.86,7.84,0.040000000000000036,0.019999999999999574,-8.5882,False,False,False,False,False,kasra
88,-1,45,45,ِ,ِ,7.86,7.901812499999999,7.88,0.04181249999999892,0.019999999999999574,-15.194415,False,False,False,False,False,none
88,1,0,0,ب,ب,7.7018125,7.8818125,7.7218124999999995,0.17999999999999972,0.019999999999999574,-7.972872,False,False,False,False,False,kasra
88,1,1,1,ِ,ِ,7.8818125,7.9018125,7.9018125,0.020000000000000462,0.020000000000000462,-16.292904,False,False,False,False,True,sukun
88,1,2,2,س,س,7.9018125,7.9618125,7.9218125,0.05999999999999961,0.019999999999999574,-15.179358,False,False,False,False,True,sukun
88,1,3,3,ْ,ْ,7.9618125,8.0818125,7.9818125,0.1200000000000001,0.020000000000000462,-4.615514,False,False,False,False,False,kasra
88,1,4,4,م,م,8.0818125,8.1418125,8.1018125,0.0600000000000005,0.019999999999999574,-8.872654,False,False,False,False,False,kasra
88,1,5,5,ِ,ِ,8.1418125,8.1618125,8.1618125,0.019999999999999574,0.019999999999999574,-13.020353,False,False,False,False,False,none
88,1,6,6, ,|,8.1618125,8.2818125,8.1818125,0.11999999999999922,0.019999999999999574,-12.3030615,False,False,False,False,False,none
88,1,7,7,ٱ,ا,8.2818125,8.6618125,8.3018125,0.3800000000000008,0.02000000000000135,-0.008877216,False,False,False,False,False,none
88,1,8,8,ل,ل,8.6618125,8.8618125,8.6818125,0.1999999999999993,0.019999999999999574,-14.170301,False,True,False,False,False,fatha
88,1,9,9,ل,ل,8.8618125,8.9818125,8.8818125,0.120000000000001,0.02000000000000135,-12.491981,False,True,False,False,False,fatha
88,1,10,10,ّ,ّ,8.9818125,9.0418125,9.0018125,0.0600000000000005,0.019999999999999574,-4.8303413,False,False,False,False,False,fatha
88,1,11,11,َ,َ,9.0418125,9.1218125,9.0618125,0.08000000000000007,0.019999999999999574,-0.0016286217,False,False,False,False,False,kasra
88,1,12,12,ه,ه,9.1218125,9.201812499999999,9.1418125,0.0799999999999983,0.019999999999999574,-7.738768,False,False,False,False,False,kasra
88,1,13,13,ِ,ِ,9.201812499999999,9.9618125,9.2218125,0.7600000000000016,0.02000000000000135,-6.080268,False,False,False,False,False,none
88,1,14,14, ,|,9.9618125,10.0018125,10.0018125,0.03999999999999915,0.03999999999999915,-0.06950857,False,False,False,False,False,none
88,1,15,15,ٱ,ا,10.0018125,10.0218125,10.0218125,0.019999999999999574,0.019999999999999574,-14.521763,False,False,False,False,False,none
88,1,16,16,ل,ل,10.0218125,10.1618125,10.041812499999999,0.14000000000000057,0.019999999999999574,-14.604697,False,True,False,False,False,fatha
88,1,17,17,ر,ر,10.1618125,10.2218125,10.1818125,0.0600000000000005,0.019999999999999574,-8.000766,False,True,False,False,False,fatha
88,1,18,18,ّ,ّ,10.2218125,10.2418125,10.2418125,0.019999999999999574,0.019999999999999574,-11.092007,False,False,False,False,False,fatha
88,1,19,19,َ,َ,10.2418125,10.3818125,10.2618125,0.14000000000000057,0.019999999999999574,-5.91317,False,False,False,False,True,sukun
88,1,20,20,ح,ح,10.3818125,10.4818125,10.4018125,0.09999999999999964,0.019999999999999574,-11.058638,False,False,False,False,True,sukun
88,1,21,21,ْ,ْ,10.4818125,10.541812499999999,10.5018125,0.05999999999999872,0.019999999999999574,-12.71469,False,False,True,False,False,fatha
88,1,22,22,م,م,10.541812499999999,11.1618125,10.5618125,0.620000000000001,0.02000000000000135,-15.130386,False,False,True,False,False,fatha
88,1,23,23,َ,َ,11.1618125,11.2218125,11.1818125,0.0600000000000005,0.019999999999999574,-12.884089,False,False,True,False,False,none
88,1,24,25,ٰ,ا,11.2218125,11.2418125,11.2418125,0.019999999999999574,0.019999999999999574,-5.975155,False,False,False,False,False,kasra
88,1,25,26,ن,ن,11.2418125,11.2618125,11.2618125,0.019999999999999574,0.019999999999999574,-6.7492857,False,False,False,False,False,kasra
88,1,26,27,ِ,ِ,11.2618125,11.941812500000001,11.3018125,0.6800000000000015,0.040000000000000924,-0.26790142,False,False,False,False,False,none
88,1,27,28, ,|,11.941812500000001,12.0618125,11.9618125,0.11999999999999922,0.019999999999999574,-4.619335,False,False,False,False,False,none
88,1,28,29,ٱ,ا,12.0618125,12.1418125,12.0818125,0.08000000000000007,0.019999999999999574,-18.099632,False,False,False,False,False,none
88,1,29,30,ل,ل,12.1418125,12.3218125,12.1618125,0.17999999999999972,0.019999999999999574,-17.222858,False,True,False,False,False,fatha
88,1,30,31,ر,ر,12.3218125,12.6218125,12.3418125,0.3000000000000007,0.019999999999999574,-14.4433775,False,True,False,False,False,fatha
88,1,31,32,ّ,ّ,12.6218125,12.701812499999999,12.6418125,0.0799999999999983,0.019999999999999574,-15.794937,False,False,False,False,False,fatha
88,1,32,33,َ,َ,12.701812499999999,12.881812499999999,12.7218125,0.17999999999999972,0.02000000000000135,-0.0006727101,False,False,False,False,False,kasra
88,1,33,34,ح,ح,12.881812499999999,12.9618125,12.9018125,0.08000000000000185,0.02000000000000135,-12.121568,False,False,False,False,False,kasra
88,1,34,35,ِ,ِ,12.9618125,13.0018125,13.0018125,0.03999999999999915,0.03999999999999915,-0.000596405,False,False,False,False,False,kasra
88,1,35,36,ي,ي,13.0018125,13.1618125,13.0218125,0.16000000000000014,0.019999999999999574,-13.773123,False,False,False,False,False,kasra
88,1,36,37,م,م,13.1618125,13.2418125,13.1818125,0.08000000000000007,0.019999999999999574,-13.1987915,False,False,False,False,False,kasra
88,1,37,38,ِ,ِ,13.2418125,13.5018125,13.261812500000001,0.2599999999999998,0.02000000000000135,-3.6598628,False,False,False,False,False,fatha
88,1,38,39, ,|,13.5018125,13.7218125,13.5818125,0.22000000000000064,0.08000000000000007,-0.020552285,False,False,False,False,False,fatha
88,1,39,40,ه,ه,13.7218125,13.8018125,13.7418125,0.08000000000000007,0.019999999999999574,-9.094945,False,False,False,False,False,fatha
88,1,40,41,َ,َ,13.8018125,14.2418125,13.8218125,0.4399999999999995,0.019999999999999574,-1.8640317,False,False,False,False,True,sukun
88,1,41,42,ل,ل,14.2418125,14.3218125,14.261812500000001,0.08000000000000007,0.02000000000000135,-12.440533,False,False,False,False,True,sukun
88,1,42,43,ْ,ْ,14.3218125,14.3418125,14.3418125,0.019999999999999574,0.019999999999999574,-2.8446748,False,False,False,False,False,fatha
88,1,43,44, ,|,14.3418125,14.4018125,14.3618125,0.0600000000000005,0.019999999999999574,-6.2725863,False,False,False,False,False,fatha
88,1,44,45,أ,أ,14.4018125,14.4218125,14.4218125,0.019999999999999574,0.019999999999999574,-10.80309,False,False,False,False,False,fatha
