surah_no,verse_no,text,n_letters_aligned,ctc_mean_score,t_start,t_end,char_count,word_count,syllable_count,madd_count,emphatic_count,ghunnah_count,syllable_count_full,madd_count_full,emphatic_count_full,Duration_s,Mean_Pitch_Hz,Pitch_Variance,Pitch_Range_Hz,Pitch_Voiced_Frames,Pitch_Total_Frames,Mean_Intensity_dB,HNR_dB,Mean_RMS,Spectral_Centroid_Hz,Spectral_Rolloff85_Hz,Silence_before_s
60,-1,أَعُوذُ بِاللَّهِ مِنَ الشَّيْطَانِ الرَّجِيمِ,46,-8.831389427185059,0.08,6.5400624999999994,46,5,14,0,1,0,14,3,1,6.46,187.12303813131837,21.335970122945323,140.79165450082,567.0,643.0,70.5318225974213,14.59371281143551,0.1105060949921608,1659.1387927431617,3074.102722772277,0.0
60,1,بِسْمِ ٱللَّهِ ٱلرَّحْمَـٰنِ ٱلرَّحِيمِ يَـٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُوا۟ لَا تَتَّخِذُوا۟ عَدُوِّى وَعَدُوَّكُمْ أَوْلِيَآءَ تُلْقُونَ إِلَيْهِم بِٱلْمَوَدَّةِ وَقَدْ كَفَرُوا۟ بِمَا جَآءَكُم مِّنَ ٱلْحَقِّ يُخْرِجُونَ ٱلرَّسُولَ وَإِيَّاكُمْ ۙ أَن تُؤْمِنُوا۟ بِٱللَّهِ رَبِّكُمْ إِن كُنتُمْ خَرَجْتُمْ جِهَـٰدًۭا فِى سَبِيلِى وَٱبْتِغَآءَ مَرْضَاتِى ۚ تُسِرُّونَ إِلَيْهِم بِٱلْمَوَدَّةِ وَأَنَا۠ أَعْلَمُ بِمَآ أَخْفَيْتُمْ وَمَآ أَعْلَنتُمْ ۚ وَمَن يَفْعَلْهُ مِنكُمْ فَقَدْ ضَلَّ سَوَآءَ ٱلسَّبِيلِ,496,-2.693615198135376,6.3400625,75.88256249999999,511,52,157,10,6,2,158,39,11,69.5424375,185.87574361413542,23.935355168764033,361.73464040604324,6046.0,6951.0,67.64323254888664,15.526437789164643,0.08112988620996475,1573.1422244337953,2898.7465501379943,0.0
60,2,إِن يَثْقَفُوكُمْ يَكُونُوا۟ لَكُمْ أَعْدَآءًۭ وَيَبْسُطُوٓا۟ إِلَيْكُمْ أَيْدِيَهُمْ وَأَلْسِنَتَهُم بِٱلسُّوٓءِ وَوَدُّوا۟ لَوْ تَكْفُرُونَ,138,-7.817614555358887,76.0225625,95.554875,142,13,43,3,2,1,44,12,2,19.5323125,189.32339838549106,23.807608082781755,283.49185627575514,1599.0,1950.0,68.06683608009016,14.154363776175757,0.0997220128774643,1589.9559845815918,2937.2314852700492,0.14000000000001478
60,3,لَن تَنفَعَكُمْ أَرْحَامُكُمْ وَلَآ أَوْلَـٰدُكُمْ ۚ يَوْمَ ٱلْقِيَـٰمَةِ يَفْصِلُ بَيْنَكُمْ ۚ وَٱللَّهُ بِمَا تَعْمَلُونَ بَصِيرٌۭ,126,-8.079668045043945,95.91487500000001,113.4735,133,13,41,3,3,1,42,9,3,17.558625,191.9092489662388,20.945772356065905,159.2081694723003,1442.0,1752.0,68.08584834189779,13.346020721066552,0.08525503426790237,1769.3344646137657,3313.1545992714027,0.36000000000001364
60,4,قَدْ كَانَتْ لَكُمْ أُسْوَةٌ حَسَنَةٌۭ فِىٓ إِبْرَٰهِيمَ وَٱلَّذِينَ مَعَهُۥٓ إِذْ قَالُوا۟ لِقَوْمِهِمْ إِنَّا بُرَءَٰٓؤُا۟ مِنكُمْ وَمِمَّا تَعْبُدُونَ مِن دُونِ ٱللَّهِ كَفَرْنَا بِكُمْ وَبَدَا بَيْنَنَا وَبَيْنَكُمُ ٱلْعَدَٰوَةُ وَٱلْبَغْضَآءُ أَبَدًا حَتَّىٰ تُؤْمِنُوا۟ بِٱللَّهِ وَحْدَهُۥٓ إِلَّا قَوْلَ إِبْرَٰهِيمَ لِأَبِيهِ لَأَسْتَغْفِرَنَّ لَكَ وَمَآ أَمْلِكُ لَكَ مِنَ ٱللَّهِ مِن شَىْءٍۢ ۖ رَّبَّنَا عَلَيْكَ تَوَكَّلْنَا وَإِلَيْكَ أَنَبْنَا وَإِلَيْكَ ٱلْمَصِيرُ,471,-3.032089948654175,114.23349999999999,179.6929375,480,52,154,11,6,7,158,33,8,65.4595,191.52200817408016,23.65531024544779,312.5928112455799,5672.0,6542.0,68.41223680567113,14.60466890245202,0.09284505248069763,1667.5847678907974,3083.4173387096776,0.7599999999999909
60,5,رَبَّنَا لَا تَجْعَلْنَا فِتْنَةًۭ لِّلَّذِينَ كَفَرُوا۟ وَٱغْفِرْ لَنَا رَبَّنَآ ۖ إِنَّكَ أَنتَ ٱلْعَزِيزُ ٱلْحَكِيمُ,116,-5.060876846313477,179.4929375,195.9526875,120,13,35,1,0,2,36,10,1,16.45975,177.61876638934217,24.998170341107212,211.34050412870968,1458.0,1642.0,66.94366384964474,14.411422542859473,0.07765967398881912,1587.1281918738296,3001.729368932039,0.0
60,6,لَقَدْ كَانَ لَكُمْ فِيهِمْ أُسْوَةٌ حَسَنَةٌۭ لِّمَن كَانَ يَرْجُوا۟ ٱللَّهَ وَٱلْيَوْمَ ٱلْـَٔاخِرَ ۚ وَمَن يَتَوَلَّ فَإِنَّ ٱللَّهَ هُوَ ٱلْغَنِىُّ ٱلْحَمِيدُ,156,-3.7932488918304443,195.7526875,219.4236875,162,19,46,0,1,3,48,7,3,23.671,195.77048203556478,18.709946352835697,160.03370544047965,1915.0,2364.0,68.26813820921384,13.357077434556988,0.12453869730234146,1533.281722014177,2918.1271114864867,0.0
60,7,عَسَى ٱللَّهُ أَن يَجْعَلَ بَيْنَكُمْ وَبَيْنَ ٱلَّذِينَ عَادَيْتُم مِّنْهُم مَّوَدَّةًۭ ۚ وَٱللَّهُ قَدِيرٌۭ ۚ وَٱللَّهُ غَفُورٌۭ رَّحِيمٌۭ,132,-7.9726691246032715,219.3636875,237.915125,140,15,37,0,1,6,41,5,2,18.5514375,186.9902323426415,19.373401626405773,161.0612893268877,1627.0,1852.0,70.52583505520735,14.63847857969358,0.11643745005130768,1404.9571365947095,2705.199353448276,0.0
60,8,لَّا يَنْهَىٰكُمُ ٱللَّهُ عَنِ ٱلَّذِينَ لَمْ يُقَـٰتِلُوكُمْ فِى ٱلدِّينِ وَلَمْ يُخْرِجُوكُم مِّن دِيَـٰرِكُمْ أَن تَبَرُّوهُمْ وَتُقْسِطُوٓا۟ إِلَيْهِمْ ۚ إِنَّ ٱللَّهَ يُحِبُّ ٱلْمُقْسِطِينَ,189,-9.301878929138184,238.395125,264.67600000000004,194,21,59,4,5,2,59,13,6,26.280875,178.29798445213768,22.31832990239733,246.64940954793212,2211.0,2625.0,69.21311195660115,16.473057765218886,0.10750884562730789,1528.1837129327537,2893.1341240875913,0.4800000000000182
60,9,إِنَّمَا يَنْهَىٰكُمُ ٱللَّهُ عَنِ ٱلَّذِينَ قَـٰتَلُوكُمْ فِى ٱلدِّينِ وَأَخْرَجُوكُم مِّن دِيَـٰرِكُمْ وَظَـٰهَرُوا۟ عَلَىٰٓ إِخْرَاجِكُمْ أَن تَوَلَّوْهُمْ ۚ وَمَن يَتَوَلَّهُمْ فَأُو۟لَـٰٓئِكَ هُمُ ٱلظَّـٰلِمُونَ,207,-7.248590469360352,264.476,292.81350000000003,216,21,73,9,3,2,73,19,5,28.3375,192.0628242441744,21.85165443644647,241.01443200640912,2592.0,2830.0,71.61934130718853,15.57669422312234,0.11787548661231995,1519.5952481986933,2886.207322234763,0.0
60,10,يَـٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُوٓا۟ إِذَا جَآءَكُمُ ٱلْمُؤْمِنَـٰتُ مُهَـٰجِرَٰتٍۢ فَٱمْتَحِنُوهُنَّ ۖ ٱللَّهُ أَعْلَمُ بِإِيمَـٰنِهِنَّ ۖ فَإِنْ عَلِمْتُمُوهُنَّ مُؤْمِنَـٰتٍۢ فَلَا تَرْجِعُوهُنَّ إِلَى ٱلْكُفَّارِ ۖ لَا هُنَّ حِلٌّۭ لَّهُمْ وَلَا هُمْ يَحِلُّونَ لَهُنَّ ۖ وَءَاتُوهُم مَّآ أَنفَقُوا۟ ۚ وَلَا جُنَاحَ عَلَيْكُمْ أَن تَنكِحُوهُنَّ إِذَآ ءَاتَيْتُمُوهُنَّ أُجُورَهُنَّ ۚ وَلَا تُمْسِكُوا۟ بِعِصَمِ ٱلْكَوَافِرِ وَسْـَٔلُوا۟ مَآ أَنفَقْتُمْ وَلْيَسْـَٔلُوا۟ مَآ أَنفَقُوا۟ ۚ ذَٰلِكُمْ حُكْمُ ٱللَّهِ ۖ يَحْكُمُ بَيْنَكُمْ ۚ وَٱللَّهُ عَلِيمٌ حَكِيمٌۭ,533,-2.741610288619995,292.6135,368.0135,570,55,177,14,4,15,182,50,4,75.4,189.46859973741113,21.671975431077012,303.9724329590156,6406.0,7537.0,68.53077043942095,14.663734614901895,0.09470780938863754,1509.262585300644,2825.2379879083583,0.0
60,11,وَإِن فَاتَكُمْ شَىْءٌۭ مِّنْ أَزْوَٰجِكُمْ إِلَى ٱلْكُفَّارِ فَعَاقَبْتُمْ فَـَٔاتُوا۟ ٱلَّذِينَ ذَهَبَتْ أَزْوَٰجُهُم مِّثْلَ مَآ أَنفَقُوا۟ ۚ وَٱتَّقُوا۟ ٱللَّهَ ٱلَّذِىٓ أَنتُم بِهِۦ مُؤْمِنُونَ,190,-5.276427745819092,367.95275,393.37275,199,21,58,4,3,3,59,14,3,25.42,188.01623210116054,19.843421294163633,260.0381111690274,2251.0,2539.0,66.62954451685549,16.042352173653715,0.07655775547027588,1522.731814065593,2849.547955974843,0.0
60,12,يَـٰٓأَيُّهَا ٱلنَّبِىُّ إِذَا جَآءَكَ ٱلْمُؤْمِنَـٰتُ يُبَايِعْنَكَ عَلَىٰٓ أَن لَّا يُشْرِكْنَ بِٱللَّهِ شَيْـًۭٔا وَلَا يَسْرِقْنَ وَلَا يَزْنِينَ وَلَا يَقْتُلْنَ أَوْلَـٰدَهُنَّ وَلَا يَأْتِينَ بِبُهْتَـٰنٍۢ يَفْتَرِينَهُۥ بَيْنَ أَيْدِيهِنَّ وَأَرْجُلِهِنَّ وَلَا يَعْصِينَكَ فِى مَعْرُوفٍۢ ۙ فَبَايِعْهُنَّ وَٱسْتَغْفِرْ لَهُنَّ ٱللَّهَ ۖ إِنَّ ٱللَّهَ غَفُورٌۭ رَّحِيمٌۭ,363,-3.6158833503723145,394.626125,445.572,379,38,115,8,3,12,120,27,5,50.945875,189.113350991581,22.85226277827854,281.2868344935037,4495.0,5091.0,66.87466003243372,14.52542851621195,0.08026207983493805,1566.4251278327085,2879.168628374137,1.2533750000000055
60,13,يَـٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُوا۟ لَا تَتَوَلَّوْا۟ قَوْمًا غَضِبَ ٱللَّهُ عَلَيْهِمْ قَدْ يَئِسُوا۟ مِنَ ٱلْـَٔاخِرَةِ كَمَا يَئِسَ ٱلْكُفَّارُ مِنْ أَصْحَـٰبِ ٱلْقُبُورِ,165,-1.3840360641479492,446.3519375,469.38,172,19,52,3,5,1,53,13,7,23.0280625,184.98785918664143,18.597453180634105,220.84675662354886,1946.0,2299.0,68.39248451970276,14.161751679650415,0.0928046926856041,1531.1078170513372,2867.7842881944443,0.7799375000000168
