surah_no,verse_no,text,n_letters_aligned,ctc_mean_score,t_start,t_end,char_count,word_count,syllable_count,madd_count,emphatic_count,ghunnah_count,syllable_count_full,madd_count_full,emphatic_count_full,Duration_s,Mean_Pitch_Hz,Pitch_Variance,Pitch_Range_Hz,Pitch_Voiced_Frames,Pitch_Total_Frames,Mean_Intensity_dB,HNR_dB,Mean_RMS,Spectral_Centroid_Hz,Spectral_Rolloff85_Hz,Silence_before_s
48,-1,أَعُوذُ بِاللَّهِ مِنَ الشَّيْطَانِ الرَّجِيمِ,46,-6.776945114135742,0.1479375,6.6015625,46,5,14,0,1,0,14,3,1,6.453625,209.22318056011449,12.83620055182988,84.6360192932838,526.0,642.0,71.28106350859065,14.785043786950059,0.13783547282218933,1736.837122268753,3400.4873143564355,0.0
48,1,بِسْمِ ٱللَّهِ ٱلرَّحْمَـٰنِ ٱلرَّحِيمِ إِنَّا فَتَحْنَا لَكَ فَتْحًۭا مُّبِينًۭا,78,-9.210912704467773,6.421562499999999,17.032,81,9,21,1,0,4,23,5,0,10.6105,206.48797833408332,18.595845805389207,79.46901460432275,931.0,1058.0,72.22244910765959,14.208000565767009,0.14482754468917847,1802.2236014508906,3490.257906626506,0.0
48,2,لِّيَغْفِرَ لَكَ ٱللَّهُ مَا تَقَدَّمَ مِن ذَنۢبِكَ وَمَا تَأَخَّرَ وَيُتِمَّ نِعْمَتَهُۥ عَلَيْكَ وَيَهْدِيَكَ صِرَٰطًۭا مُّسْتَقِيمًۭا,132,-5.984695911407471,16.9319375,35.46,136,15,45,1,4,4,47,6,6,18.5280625,204.36917719084266,20.749114767194992,167.54600036528353,1520.0,1849.0,69.87634139744935,13.731164422215118,0.13550007343292236,1890.2981943290006,3651.1988146551726,0.0
48,3,وَيَنصُرَكَ ٱللَّهُ نَصْرًا عَزِيزًا,36,-8.883426666259766,35.28,39.970062500000004,36,4,10,0,2,2,12,1,2,4.6900625,197.89301328851877,16.556903912150425,56.78299955106172,439.0,466.0,74.92302497842522,16.055434771421684,0.14167903363704681,1854.6425104873654,3678.4651360544217,0.0
48,4,هُوَ ٱلَّذِىٓ أَنزَلَ ٱلسَّكِينَةَ فِى قُلُوبِ ٱلْمُؤْمِنِينَ لِيَزْدَادُوٓا۟ إِيمَـٰنًۭا مَّعَ إِيمَـٰنِهِمْ ۗ وَلِلَّهِ جُنُودُ ٱلسَّمَـٰوَٰتِ وَٱلْأَرْضِ ۚ وَكَانَ ٱللَّهُ عَلِيمًا حَكِيمًۭا,183,-3.3836193084716797,39.7700625,65.66475,193,19,60,6,2,4,63,19,2,25.8946875,198.08719334913548,24.67535699893615,185.6533498971292,2160.0,2586.0,70.65503225388437,14.88035247740051,0.1386651247739792,1759.344281865591,3407.609953703704,0.0
48,5,لِّيُدْخِلَ ٱلْمُؤْمِنِينَ وَٱلْمُؤْمِنَـٰتِ جَنَّـٰتٍۢ تَجْرِى مِن تَحْتِهَا ٱلْأَنْهَـٰرُ خَـٰلِدِينَ فِيهَا وَيُكَفِّرَ عَنْهُمْ سَيِّـَٔاتِهِمْ ۚ وَكَانَ ذَٰلِكَ عِندَ ٱللَّهِ فَوْزًا عَظِيمًۭا,187,-3.6386849880218506,65.64475,91.48649999999999,197,19,60,5,1,4,63,14,3,25.8416875,206.33438652342426,19.078925606956172,132.5205363689447,2210.0,2581.0,70.37423839144962,13.802040152381622,0.14352379739284515,1844.0973258538447,3573.4355662128714,0.0
48,6,وَيُعَذِّبَ ٱلْمُنَـٰفِقِينَ وَٱلْمُنَـٰفِقَـٰتِ وَٱلْمُشْرِكِينَ وَٱلْمُشْرِكَـٰتِ ٱلظَّآنِّينَ بِٱللَّهِ ظَنَّ ٱلسَّوْءِ ۚ عَلَيْهِمْ دَآئِرَةُ ٱلسَّوْءِ ۖ وَغَضِبَ ٱللَّهُ عَلَيْهِمْ وَلَعَنَهُمْ وَأَعَدَّ لَهُمْ جَهَنَّمَ ۖ وَسَآءَتْ مَصِيرًۭا,239,-3.3918604850769043,91.32650000000001,124.6245625,250,21,81,7,6,4,82,14,7,33.2980625,197.00203594336443,22.659557092199524,140.7536744349425,2716.0,3326.0,71.2570674652663,14.968140386345091,0.15002955496311188,1803.4705778183938,3463.8343539865514,0.0
48,7,وَلِلَّهِ جُنُودُ ٱلسَّمَـٰوَٰتِ وَٱلْأَرْضِ ۚ وَكَانَ ٱللَّهُ عَزِيزًا حَكِيمًا,77,-3.4594666957855225,124.4245625,136.215125,80,8,25,2,1,2,27,6,1,11.7905625,200.3851157666469,18.418235601359868,105.89008969401947,937.0,1176.0,69.002130129813,15.208350951943364,0.14266793429851532,1856.5288466484385,3552.9513888888887,0.0
48,8,إِنَّآ أَرْسَلْنَـٰكَ شَـٰهِدًۭا وَمُبَشِّرًۭا وَنَذِيرًۭا,54,-1.8610979318618774,136.015125,142.82,59,5,18,3,0,4,21,5,0,6.804875,218.91296974119146,19.995927473129107,146.20735452602952,631.0,677.0,76.62994664898669,13.6441439524561,0.16305126249790192,1958.2957982639093,3686.0328638497654,0.0
48,9,لِّتُؤْمِنُوا۟ بِٱللَّهِ وَرَسُولِهِۦ وَتُعَزِّرُوهُ وَتُوَقِّرُوهُ وَتُسَبِّحُوهُ بُكْرَةًۭ وَأَصِيلًا,100,-0.22805427014827728,144.02,157.09199999999998,103,8,35,0,2,2,37,7,2,13.0719375,200.2691903511217,29.710137722967325,246.05917204108573,1151.0,1304.0,71.52069424102413,14.385791670801956,0.13413800299167633,1731.360901064298,3344.60956601467,1.200000000000017
48,10,إِنَّ ٱلَّذِينَ يُبَايِعُونَكَ إِنَّمَا يُبَايِعُونَ ٱللَّهَ يَدُ ٱللَّهِ فَوْقَ أَيْدِيهِمْ ۚ فَمَن نَّكَثَ فَإِنَّمَا يَنكُثُ عَلَىٰ نَفْسِهِۦ ۖ وَمَنْ أَوْفَىٰ بِمَا عَـٰهَدَ عَلَيْهُ ٱللَّهَ فَسَيُؤْتِيهِ أَجْرًا عَظِيمًۭا,219,-1.038896918296814,157.072,188.2829375,226,25,72,3,2,6,74,14,2,31.2109375,214.4476674889342,20.91094130715494,172.80361892381575,2592.0,3118.0,71.22004132694336,13.953932101858676,0.1552644520998001,1881.7353485096864,3553.5668545081967,0.0
48,11,سَيَقُولُ لَكَ ٱلْمُخَلَّفُونَ مِنَ ٱلْأَعْرَابِ شَغَلَتْنَآ أَمْوَٰلُنَا وَأَهْلُونَا فَٱسْتَغْفِرْ لَنَا ۚ يَقُولُونَ بِأَلْسِنَتِهِم مَّا لَيْسَ فِى قُلُوبِهِمْ ۚ قُلْ فَمَن يَمْلِكُ لَكُم مِّنَ ٱللَّهِ شَيْـًٔا إِنْ أَرَادَ بِكُمْ ضَرًّا أَوْ أَرَادَ بِكُمْ نَفْعًۢا ۚ بَلْ كَانَ ٱللَّهُ بِمَا تَعْمَلُونَ خَبِيرًۢا,310,-0.6627454161643982,188.0829375,228.2429375,320,37,93,2,5,6,97,20,9,40.16,217.7105688163017,22.3117200266141,172.052718655104,3407.0,4013.0,71.31258018170675,13.674556254599542,0.14228983223438263,1878.2482190959186,3580.793441480892,0.0
