surah_no,verse_no,text,n_letters_aligned,ctc_mean_score,t_start,t_end,char_count,word_count,syllable_count,madd_count,emphatic_count,ghunnah_count,syllable_count_full,madd_count_full,emphatic_count_full,Duration_s,Mean_Pitch_Hz,Pitch_Variance,Pitch_Range_Hz,Pitch_Voiced_Frames,Pitch_Total_Frames,Mean_Intensity_dB,HNR_dB,Mean_RMS,Spectral_Centroid_Hz,Spectral_Rolloff85_Hz,Silence_before_s
10,-1,أَعُوذُ بِاللَّهِ مِنَ الشَّيْطَانِ الرَّجِيمِ,46,-7.1609039306640625,0.14,7.34,46,5,14,0,1,0,14,3,1,7.2,218.76812174161375,18.55906421517651,100.35952607528174,559.0,717.0,67.49816488046966,13.968014686580576,0.12276052683591843,1749.215142348322,3178.0282079646017,0.0
10,1,بِسْمِ ٱللَّهِ ٱلرَّحْمَـٰنِ ٱلرَّحِيمِ الٓر ۚ تِلْكَ ءَايَـٰتُ ٱلْكِتَـٰبِ ٱلْحَكِيمِ,81,-9.258639335632324,8.6805,21.4469375,86,9,25,4,0,0,25,7,0,12.7664375,220.38469469109293,44.91901939801241,175.30668905950495,1033.0,1273.0,69.5662307846311,12.253388039122543,0.1286974549293518,1804.5359903153997,3180.7056704260654,1.3405000000000005
10,2,أَكَانَ لِلنَّاسِ عَجَبًا أَنْ أَوْحَيْنَآ إِلَىٰ رَجُلٍۢ مِّنْهُمْ أَنْ أَنذِرِ ٱلنَّاسَ وَبَشِّرِ ٱلَّذِينَ ءَامَنُوٓا۟ أَنَّ لَهُمْ قَدَمَ صِدْقٍ عِندَ رَبِّهِمْ ۗ قَالَ ٱلْكَـٰفِرُونَ إِنَّ هَـٰذَا لَسَـٰحِرٌۭ مُّبِينٌ,215,-4.640854835510254,21.246875,56.3504375,223,26,68,6,4,11,73,17,4,35.1035625,221.18364610398874,38.16381636959147,219.71186372626622,2950.0,3507.0,68.90664041001378,13.071482664391898,0.11273982375860214,1756.1103619221944,3062.5213650866,0.0
10,3,إِنَّ رَبَّكُمُ ٱللَّهُ ٱلَّذِى خَلَقَ ٱلسَّمَـٰوَٰتِ وَٱلْأَرْضَ فِى سِتَّةِ أَيَّامٍۢ ثُمَّ ٱسْتَوَىٰ عَلَى ٱلْعَرْشِ ۖ يُدَبِّرُ ٱلْأَمْرَ ۖ مَا مِن شَفِيعٍ إِلَّا مِنۢ بَعْدِ إِذْنِهِۦ ۚ ذَٰلِكُمُ ٱللَّهُ رَبُّكُمْ فَٱعْبُدُوهُ ۚ أَفَلَا تَذَكَّرُونَ,242,-4.643771648406982,56.150375,96.71868749999999,254,29,77,4,2,4,79,11,3,40.56825,217.9674126498556,43.49005362473338,384.3345188059259,3358.0,4053.0,68.827778552942,12.853443202314022,0.11633668094873428,1689.8400684066517,2996.586652208202,0.0
10,4,إِلَيْهِ مَرْجِعُكُمْ جَمِيعًۭا ۖ وَعْدَ ٱللَّهِ حَقًّا ۚ إِنَّهُۥ يَبْدَؤُا۟ ٱلْخَلْقَ ثُمَّ يُعِيدُهُۥ لِيَجْزِىَ ٱلَّذِينَ ءَامَنُوا۟ وَعَمِلُوا۟ ٱلصَّـٰلِحَـٰتِ بِٱلْقِسْطِ ۚ وَٱلَّذِينَ كَفَرُوا۟ لَهُمْ شَرَابٌۭ مِّنْ حَمِيمٍۢ وَعَذَابٌ أَلِيمٌۢ بِمَا كَانُوا۟ يَكْفُرُونَ,258,-6.934689521789551,96.5986875,138.19325,277,28,78,2,5,9,84,19,6,41.5945625,208.6721835686221,36.28489348106036,390.39231807794135,3515.0,4156.0,69.06115644713815,13.32985989218117,0.11278143525123596,1714.4300337917161,3061.8028846153848,0.0
10,5,هُوَ ٱلَّذِى جَعَلَ ٱلشَّمْسَ ضِيَآءًۭ وَٱلْقَمَرَ نُورًۭا وَقَدَّرَهُۥ مَنَازِلَ لِتَعْلَمُوا۟ عَدَدَ ٱلسِّنِينَ وَٱلْحِسَابَ ۚ مَا خَلَقَ ٱللَّهُ ذَٰلِكَ إِلَّا بِٱلْحَقِّ ۚ يُفَصِّلُ ٱلْـَٔايَـٰتِ لِقَوْمٍۢ يَعْلَمُونَ,210,-6.8370442390441895,138.05325,172.029,222,23,69,3,7,3,72,15,8,33.97575,191.0507237185502,26.04364481627449,233.24573486953636,2856.0,3394.0,69.48275336491183,14.954335149736545,0.10666303336620331,1452.7060963925674,2625.9931144067796,0.0
10,6,إِنَّ فِى ٱخْتِلَـٰفِ ٱلَّيْلِ وَٱلنَّهَارِ وَمَا خَلَقَ ٱللَّهُ فِى ٱلسَّمَـٰوَٰتِ وَٱلْأَرْضِ لَـَٔايَـٰتٍۢ لِّقَوْمٍۢ يَتَّقُونَ,124,-6.924994945526123,172.229,191.2505625,131,14,40,4,4,4,42,8,6,19.0215625,186.27647939931146,29.51298437743378,137.6105463247593,1720.0,1899.0,71.39343797300084,13.948639576407526,0.1169046014547348,1381.4178873658482,2464.3644957983192,0.20000000000001705
10,7,إِنَّ ٱلَّذِينَ لَا يَرْجُونَ لِقَآءَنَا وَرَضُوا۟ بِٱلْحَيَوٰةِ ٱلدُّنْيَا وَٱطْمَأَنُّوا۟ بِهَا وَٱلَّذِينَ هُمْ عَنْ ءَايَـٰتِنَا غَـٰفِلُونَ,141,-7.784510612487793,191.0505625,212.7135625,145,15,46,4,3,2,46,17,4,21.663,181.7128527263215,25.055063892275264,145.1023959575216,1940.0,2163.0,69.75900766368675,14.989145778031894,0.09225901961326599,1444.624246930833,2690.200332348597,0.0
10,8,أُو۟لَـٰٓئِكَ مَأْوَىٰهُمُ ٱلنَّارُ بِمَا كَانُوا۟ يَكْسِبُونَ,59,-8.60111141204834,214.6535625,222.95093749999998,62,6,21,3,0,1,21,9,0,8.2973125,197.01225515976074,18.916215586422872,142.5498680595415,800.0,826.0,73.29895177634252,13.803602638482507,0.11543966084718704,1490.6672217391522,2754.8076923076924,1.9399999999999977
10,9,إِنَّ ٱلَّذِينَ ءَامَنُوا۟ وَعَمِلُوا۟ ٱلصَّـٰلِحَـٰتِ يَهْدِيهِمْ رَبُّهُم بِإِيمَـٰنِهِمْ ۖ تَجْرِى مِن تَحْتِهِمُ ٱلْأَنْهَـٰرُ فِى جَنَّـٰتِ ٱلنَّعِيمِ,146,-7.330601692199707,222.7509375,247.209625,155,15,49,5,1,3,49,12,1,24.4586875,191.15536119703444,27.84815835211544,263.7634352868899,2036.0,2442.0,69.33631613588221,12.621427461148764,0.11186324805021286,1577.1214987577846,2874.6119281045753,0.0
