surah_no,verse_no,text,n_letters_aligned,ctc_mean_score,t_start,t_end,char_count,word_count,syllable_count,madd_count,emphatic_count,ghunnah_count,syllable_count_full,madd_count_full,emphatic_count_full,Duration_s,Mean_Pitch_Hz,Pitch_Variance,Pitch_Range_Hz,Pitch_Voiced_Frames,Pitch_Total_Frames,Mean_Intensity_dB,HNR_dB,Mean_RMS,Spectral_Centroid_Hz,Spectral_Rolloff85_Hz,Silence_before_s
50,-1,أَعُوذُ بِاللَّهِ مِنَ الشَّيْطَانِ الرَّجِيمِ,46,-6.730043411254883,0.596,6.276,46,5,14,0,1,0,14,3,1,5.68,234.39661871414077,21.50865161285515,154.35672674524545,454.0,565.0,69.51545971803291,15.692909873870011,0.13898642361164093,1544.7995701437917,2985.1211376404494,0.0
50,1,بِسْمِ ٱللَّهِ ٱلرَّحْمَـٰنِ ٱلرَّحِيمِ قٓ ۚ وَٱلْقُرْءَانِ ٱلْمَجِيدِ,67,-8.797807693481445,6.9678125,16.583875000000003,70,7,19,2,2,0,19,5,2,9.6160625,229.1413209886288,19.436396162627318,125.46989231656207,815.0,958.0,70.8822667147809,19.46868837293195,0.12690700590610504,1255.8180374965486,2333.8351328903655,0.6918125000000002
50,2,بَلْ عَجِبُوٓا۟ أَن جَآءَهُم مُّنذِرٌۭ مِّنْهُمْ فَقَالَ ٱلْكَـٰفِرُونَ هَـٰذَا شَىْءٌ عَجِيبٌ,91,-7.918235778808594,16.383875,28.863750000000003,95,11,28,4,1,5,31,10,1,12.479875,221.99925963042685,26.28846722026987,140.01009487783682,1076.0,1244.0,69.53340956518613,17.014740622489,0.11641121655702591,1322.4045031323428,2557.792467948718,0.0
50,3,أَءِذَا مِتْنَا وَكُنَّا تُرَابًۭا ۖ ذَٰلِكَ رَجْعٌۢ بَعِيدٌۭ,56,-4.9056549072265625,28.66375,37.2058125,61,7,17,1,0,4,20,6,0,8.5420625,216.0030932245513,23.418580054517466,142.76322761759934,697.0,851.0,68.57518193115257,16.664338294173508,0.11813274025917053,1293.305850411253,2446.9803370786517,0.0
50,4,قَدْ عَلِمْنَا مَا تَنقُصُ ٱلْأَرْضُ مِنْهُمْ ۖ وَعِندَنَا كِتَـٰبٌ حَفِيظٌۢ,72,-2.960423707962036,37.0058125,47.625,76,9,21,1,5,2,23,5,5,10.6191875,213.11695616801185,31.818426754704685,355.43262607763546,849.0,1058.0,68.26415806115489,15.695009481391033,0.11211711913347244,1205.6626942758346,2264.8484563253014,0.0
50,5,بَلْ كَذَّبُوا۟ بِٱلْحَقِّ لَمَّا جَآءَهُمْ فَهُمْ فِىٓ أَمْرٍۢ مَّرِيجٍ,71,-3.46569561958313,47.425,56.1324375,73,9,20,2,1,4,22,6,1,8.7074375,207.35604304196983,19.792468180436313,136.5559527265055,834.0,867.0,73.20123110832765,17.91271293396607,0.11701245605945587,1301.8402681376417,2615.8997252747254,0.0
50,6,أَفَلَمْ يَنظُرُوٓا۟ إِلَى ٱلسَّمَآءِ فَوْقَهُمْ كَيْفَ بَنَيْنَـٰهَا وَزَيَّنَّـٰهَا وَمَا لَهَا مِن فُرُوجٍۢ,107,-3.265625238418579,58.8924375,70.3614375,111,12,36,4,2,2,37,11,2,11.469,230.20530073145991,23.326254678231166,187.79210451432664,1129.0,1143.0,74.67594423412034,16.41687135904719,0.1376810371875763,1596.1990094249124,3004.700557103064,2.759999999999998
50,7,وَٱلْأَرْضَ مَدَدْنَـٰهَا وَأَلْقَيْنَا فِيهَا رَوَٰسِىَ وَأَنۢبَتْنَا فِيهَا مِن كُلِّ زَوْجٍۭ بَهِيجٍۢ,100,-3.936549663543701,74.92143750000001,83.84768749999999,104,11,31,2,2,2,33,10,2,8.9261875,203.4265467726635,32.959418630197845,169.06231911243833,873.0,889.0,74.19839595353011,13.037472771440951,0.13063473999500275,1463.8244443835413,2830.44914874552,4.5600000000000165
50,8,تَبْصِرَةًۭ وَذِكْرَىٰ لِكُلِّ عَبْدٍۢ مُّنِيبٍۢ,45,-9.04262924194336,83.6476875,90.6796875,48,5,13,1,1,4,16,2,1,7.032,213.97937271118286,19.13293160006336,173.7096977393142,542.0,700.0,64.58714873785227,18.091260403064517,0.09586509317159653,1206.209887881826,2559.7301136363635,0.0
50,9,وَنَزَّلْنَا مِنَ ٱلسَّمَآءِ مَآءًۭ مُّبَـٰرَكًۭا فَأَنۢبَتْنَا بِهِۦ جَنَّـٰتٍۢ وَحَبَّ ٱلْحَصِيدِ,94,-7.957316875457764,90.5396875,103.06299999999999,101,10,31,4,1,5,34,9,1,12.52325,221.14311469951102,31.52106493131729,157.8092844621382,1105.0,1249.0,71.81774639437457,16.186779118951215,0.14627033472061157,1474.7518176209085,2776.905293367347,0.0
