surah_no,verse_no,pos_in_clean,original_idx,uthmani_char,vocab_char,start_s,end_s,fire_end_s,duration_s,fire_duration_s,ctc_score,is_emphatic,has_shadda,has_small_alif_after,has_madd_sign_after,has_sukun,following_vowel
29,-1,0,0,أ,أ,0.16793750000000002,0.1879375,0.1879375,0.01999999999999999,0.01999999999999999,-16.601332,False,False,False,False,False,fatha
29,-1,1,1,َ,َ,0.1879375,0.2079375,0.2079375,0.01999999999999999,0.01999999999999999,-17.211025,False,False,False,False,False,damma
29,-1,2,2,ع,ع,0.2079375,0.3279375,0.22793750000000002,0.12,0.020000000000000018,-16.036865,False,False,False,False,False,damma
29,-1,3,3,ُ,ُ,0.3279375,0.4679375,0.3479375,0.14,0.020000000000000018,-18.120123,False,False,False,False,False,damma
29,-1,4,4,و,و,0.4679375,0.5079374999999999,0.4879375,0.039999999999999925,0.020000000000000018,-15.50741,False,False,False,False,False,damma
29,-1,5,5,ذ,ذ,0.5079374999999999,0.5279375,0.5279375,0.020000000000000018,0.020000000000000018,-15.142595,False,False,False,False,False,damma
29,-1,6,6,ُ,ُ,0.5279375,0.5479375,0.5479375,0.020000000000000018,0.020000000000000018,-17.417336,False,False,False,False,False,kasra
29,-1,7,7, ,|,0.5479375,0.5679375,0.5679375,0.020000000000000018,0.020000000000000018,-7.510157e-06,False,False,False,False,False,kasra
29,-1,8,8,ب,ب,0.5679375,0.5879375,0.5879375,0.020000000000000018,0.020000000000000018,-16.222414,False,False,False,False,False,kasra
29,-1,9,9,ِ,ِ,0.5879375,0.6079374999999999,0.6079374999999999,0.019999999999999907,0.019999999999999907,-15.493806,False,False,False,False,False,none
29,-1,10,10,ا,ا,0.6079374999999999,0.6479374999999999,0.6279374999999999,0.040000000000000036,0.020000000000000018,-0.0013342536,False,False,False,False,False,none
29,-1,11,11,ل,ل,0.6479374999999999,0.8279375,0.6879375,0.18000000000000005,0.040000000000000036,-3.2543572e-05,False,True,False,False,False,fatha
29,-1,12,12,ل,ل,0.8279375,0.8479375,0.8479375,0.020000000000000018,0.020000000000000018,-2.0980615e-05,False,True,False,False,False,fatha
29,-1,13,13,ّ,ّ,0.8479375,0.8879374999999999,0.8679374999999999,0.039999999999999925,0.019999999999999907,-14.803225,False,False,False,False,False,fatha
29,-1,14,14,َ,َ,0.8879374999999999,1.1679375,0.9079375,0.28000000000000014,0.020000000000000018,-12.717777,False,False,False,False,False,kasra
29,-1,15,15,ه,ه,1.1679375,1.2479375,1.1879374999999999,0.07999999999999985,0.019999999999999796,-9.3694114e-05,False,False,False,False,False,kasra
29,-1,16,16,ِ,ِ,1.2479375,1.3079375,1.2679375,0.06000000000000005,0.020000000000000018,-11.932153,False,False,False,False,False,kasra
29,-1,17,17, ,|,1.3079375,1.3279375,1.3279375,0.020000000000000018,0.020000000000000018,-3.7680972,False,False,False,False,False,kasra
29,-1,18,18,م,م,1.3279375,1.3479375,1.3479375,0.020000000000000018,0.020000000000000018,-6.8196163,False,False,False,False,False,kasra
29,-1,19,19,ِ,ِ,1.3479375,1.3679375,1.3679375,0.020000000000000018,0.020000000000000018,-16.878962,False,False,False,False,False,fatha
29,-1,20,20,ن,ن,1.3679375,1.3879375,1.3879375,0.020000000000000018,0.020000000000000018,-8.066517,False,False,False,False,False,fatha
29,-1,21,21,َ,َ,1.3879375,1.4079375,1.4079375,0.020000000000000018,0.020000000000000018,-14.8142,False,False,False,False,False,none
29,-1,22,22, ,|,1.4079375,1.4279375,1.4279375,0.020000000000000018,0.020000000000000018,-3.0332704,False,False,False,False,False,none
29,-1,23,23,ا,ا,1.4279375,1.4479374999999999,1.4479374999999999,0.019999999999999796,0.019999999999999796,-6.2785425,False,False,False,False,False,none
29,-1,24,24,ل,ل,1.4479374999999999,1.5879375,1.4679375,0.14000000000000012,0.020000000000000018,-3.228124,False,True,False,False,False,fatha
29,-1,25,25,ش,ش,1.5879375,1.6479375,1.6079375,0.06000000000000005,0.020000000000000018,-14.9509535,False,True,False,False,False,fatha
29,-1,26,26,ّ,ّ,1.6479375,1.6679375,1.6679375,0.020000000000000018,0.020000000000000018,-14.338388,False,False,False,False,False,fatha
29,-1,27,27,َ,َ,1.6679375,1.7879375,1.6879375,0.11999999999999988,0.020000000000000018,-10.529327,False,False,False,False,True,sukun
29,-1,28,28,ي,ي,1.7879375,1.8479375,1.8079375,0.06000000000000005,0.020000000000000018,-15.981951,False,False,False,False,True,sukun
29,-1,29,29,ْ,ْ,1.8479375,2.0079375,1.8679375,0.16000000000000014,0.020000000000000018,-15.271485,False,False,False,False,False,fatha
29,-1,30,30,ط,ط,2.0079375,2.0879375000000002,2.0279375,0.08000000000000007,0.020000000000000018,-18.83009,True,False,False,False,False,fatha
29,-1,31,31,َ,َ,2.0879375000000002,2.1679375000000003,2.1079375000000002,0.08000000000000007,0.020000000000000018,-11.6221,False,False,False,False,False,kasra
29,-1,32,32,ا,ا,2.1679375000000003,2.4279375,2.1879375000000003,0.2599999999999998,0.020000000000000018,-13.604029,False,False,False,False,False,kasra
29,-1,33,33,ن,ن,2.4279375,2.5079375,2.4479375,0.08000000000000007,0.020000000000000018,-9.1790735e-06,False,False,False,False,False,kasra
29,-1,34,34,ِ,ِ,2.5079375,2.5879375000000002,2.5279375,0.08000000000000007,0.020000000000000018,-6.322224,False,False,False,False,False,none
29,-1,35,35, ,|,2.5879375000000002,2.6279375000000003,2.6279375000000003,0.040000000000000036,0.040000000000000036,-0.012354231,False,False,False,False,False,none
29,-1,36,36,ا,ا,2.6279375000000003,2.6879375000000003,2.6479375000000003,0.06000000000000005,0.020000000000000018,-6.822098,False,False,False,False,False,none
29,-1,37,37,ل,ل,2.6879375000000003,2.8479375,2.7079375000000003,0.1599999999999997,0.020000000000000018,-1.9369783,False,True,False,False,False,fatha
29,-1,38,38,ر,ر,2.8479375,2.9079375,2.8679375,0.06000000000000005,0.020000000000000018,-4.8993817e-05,False,True,False,False,False,fatha
29,-1,39,39,ّ,ّ,2.9079375,2.9279375,2.9279375,0.020000000000000018,0.020000000000000018,-11.484388,False,False,False,False,False,fatha
29,-1,40,40,َ,َ,2.9279375,3.0879375000000002,2.9479375,0.16000000000000014,0.020000000000000018,-11.824229,False,False,False,False,False,kasra
29,-1,41,41,ج,ج,3.0879375000000002,3.1679375000000003,3.1079375000000002,0.08000000000000007,0.020000000000000018,-13.001151,False,False,False,False,False,kasra
29,-1,42,42,ِ,ِ,3.1679375000000003,3.2879375000000004,3.1879375000000003,0.1200000000000001,0.020000000000000018,-11.034201,False,False,False,False,False,kasra
29,-1,43,43,ي,ي,3.2879375000000004,3.6279375000000003,3.3079375000000004,0.33999999999999986,0.020000000000000018,-0.00048971106,False,False,False,False,False,kasra
29,-1,44,44,م,م,3.6279375000000003,4.5279375,3.6479375000000003,0.8999999999999999,0.020000000000000018,-1.2755313e-05,False,False,False,False,False,kasra
29,-1,45,45,ِ,ِ,4.5279375,6.547937500000001,4.547937500000001,2.0200000000000005,0.020000000000000462,-14.807728,False,False,False,False,False,none
29,1,0,0,ب,ب,6.46275,6.482749999999999,6.482749999999999,0.019999999999999574,0.019999999999999574,-11.534649,False,False,False,False,False,kasra
29,1,1,1,ِ,ِ,6.482749999999999,6.522749999999999,6.50275,0.040000000000000036,0.020000000000000462,-10.479854,False,False,False,False,True,sukun
29,1,2,2,س,س,6.522749999999999,6.54275,6.54275,0.020000000000000462,0.020000000000000462,-10.876528,False,False,False,False,True,sukun
29,1,3,3,ْ,ْ,6.54275,6.562749999999999,6.562749999999999,0.019999999999999574,0.019999999999999574,-13.5656,False,False,False,False,False,kasra
29,1,4,4,م,م,6.562749999999999,6.58275,6.58275,0.020000000000000462,0.020000000000000462,-6.6058426,False,False,False,False,False,kasra
29,1,5,5,ِ,ِ,6.58275,7.32275,6.6027499999999995,0.7400000000000002,0.019999999999999574,-11.532269,False,False,False,False,False,none
29,1,6,6, ,|,7.32275,7.34275,7.34275,0.019999999999999574,0.019999999999999574,-9.713335,False,False,False,False,False,none
29,1,7,7,ٱ,ا,7.34275,7.36275,7.36275,0.020000000000000462,0.020000000000000462,-14.362643,False,False,False,False,False,none
29,1,8,8,ل,ل,7.36275,7.40275,7.38275,0.040000000000000036,0.019999999999999574,-12.079658,False,True,False,False,False,fatha
29,1,9,9,ل,ل,7.40275,7.42275,7.42275,0.019999999999999574,0.019999999999999574,-11.479412,False,True,False,False,False,fatha
29,1,10,10,ّ,ّ,7.42275,7.44275,7.44275,0.020000000000000462,0.020000000000000462,-14.388809,False,False,False,False,False,fatha
29,1,11,11,َ,َ,7.44275,7.46275,7.46275,0.019999999999999574,0.019999999999999574,-11.200408,False,False,False,False,False,kasra
29,1,12,12,ه,ه,7.46275,7.482749999999999,7.482749999999999,0.019999999999999574,0.019999999999999574,-13.128923,False,False,False,False,False,kasra
29,1,13,13,ِ,ِ,7.482749999999999,7.50275,7.50275,0.020000000000000462,0.020000000000000462,-16.072117,False,False,False,False,False,none
29,1,14,14, ,|,7.50275,7.52275,7.52275,0.020000000000000462,0.020000000000000462,-8.740722,False,False,False,False,False,none
29,1,15,15,ٱ,ا,7.52275,7.54275,7.54275,0.019999999999999574,0.019999999999999574,-15.153387,False,False,False,False,False,none
29,1,16,16,ل,ل,7.54275,7.562749999999999,7.562749999999999,0.019999999999999574,0.019999999999999574,-11.51843,False,True,False,False,False,fatha
29,1,17,17,ر,ر,7.562749999999999,7.58275,7.58275,0.020000000000000462,0.020000000000000462,-10.675621,False,True,False,False,False,fatha
29,1,18,18,ّ,ّ,7.58275,7.60275,7.60275,0.020000000000000462,0.020000000000000462,-13.208225,False,False,False,False,False,fatha
29,1,19,19,َ,َ,7.60275,7.62275,7.62275,0.019999999999999574,0.019999999999999574,-8.525942,False,False,False,False,True,sukun
29,1,20,20,ح,ح,7.62275,7.6427499999999995,7.6427499999999995,0.019999999999999574,0.019999999999999574,-15.102223,False,False,False,False,True,sukun
29,1,21,21,ْ,ْ,7.6427499999999995,8.88275,7.66275,1.2400000000000002,0.020000000000000462,-13.116646,False,False,True,False,False,fatha
29,1,22,22,م,م,8.88275,9.002749999999999,8.90275,0.11999999999999922,0.019999999999999574,-0.0012107907,False,False,True,False,False,fatha
29,1,23,23,َ,َ,9.002749999999999,10.60275,9.02275,1.6000000000000014,0.02000000000000135,-14.860253,False,False,True,False,False,none
29,1,24,25,ٰ,ا,10.60275,10.742750000000001,10.62275,0.14000000000000057,0.019999999999999574,-13.590141,False,False,False,False,False,kasra
29,1,25,26,ن,ن,10.742750000000001,10.78275,10.76275,0.03999999999999915,0.019999999999999574,-7.7291536,False,False,False,False,False,kasra
29,1,26,27,ِ,ِ,10.78275,10.80275,10.80275,0.019999999999999574,0.019999999999999574,-11.502547,False,False,False,False,False,none
29,1,27,28, ,|,10.80275,10.902750000000001,10.82275,0.10000000000000142,0.019999999999999574,-13.217211,False,False,False,False,False,none
29,1,28,29,ٱ,ا,10.902750000000001,10.94275,10.92275,0.03999999999999915,0.019999999999999574,-13.63157,False,False,False,False,False,none
29,1,29,30,ل,ل,10.94275,10.96275,10.96275,0.019999999999999574,0.019999999999999574,-10.592581,False,True,False,False,False,fatha
29,1,30,31,ر,ر,10.96275,10.98275,10.98275,0.019999999999999574,0.019999999999999574,-11.222699,False,True,False,False,False,fatha
29,1,31,32,ّ,ّ,10.98275,11.002749999999999,11.002749999999999,0.019999999999999574,0.019999999999999574,-11.416755,False,False,False,False,False,fatha
29,1,32,33,َ,َ,11.002749999999999,11.02275,11.02275,0.02000000000000135,0.02000000000000135,-15.650207,False,False,False,False,False,kasra
29,1,33,34,ح,ح,11.02275,11.04275,11.04275,0.019999999999999574,0.019999999999999574,-11.9938345,False,False,False,False,False,kasra
29,1,34,35,ِ,ِ,11.04275,11.08275,11.062750000000001,0.040000000000000924,0.02000000000000135,-11.313453,False,False,False,False,False,kasra
29,1,35,36,ي,ي,11.08275,11.38275,11.10275,0.29999999999999893,0.019999999999999574,-5.894039,False,False,False,False,False,kasra
29,1,36,37,م,م,11.38275,11.402750000000001,11.402750000000001,0.02000000000000135,0.02000000000000135,-7.4932213,False,False,False,False,False,kasra
29,1,37,38,ِ,ِ,11.402750000000001,12.48275,11.42275,1.0799999999999983,0.019999999999999574,-11.338722,False,False,False,True,False,none
29,1,38,39, ,|,12.48275,12.60275,12.52275,0.120000000000001,0.040000000000000924,-0.09084749,False,False,False,True,False,none
29,1,39,40,ا,ا,12.60275,12.82275,12.62275,0.21999999999999886,0.019999999999999574,-15.414141,False,False,False,True,False,none
29,1,40,41,ل,ل,12.82275,13.002749999999999,12.842749999999999,0.17999999999999972,0.019999999999999574,-15.370637,False,False,False,True,False,none
29,1,41,42,ٓ,ا,13.002749999999999,13.02275,13.02275,0.02000000000000135,0.02000000000000135,-13.683853,False,False,False,True,False,none
29,1,42,43,م,م,13.02275,13.04275,13.04275,0.019999999999999574,0.019999999999999574,-11.617619,False,False,False,True,False,none
29,1,43,44,ٓ,ا,13.04275,13.071,13.062750000000001,0.028249999999999886,0.02000000000000135,-10.440489,False,False,False,False,False,none
29,2,0,0,أ,أ,12.871,12.891,12.891,0.019999999999999574,0.019999999999999574,-9.906959,False,False,False,False,False,fatha
29,2,1,1,َ,َ,12.891,12.911,12.911,0.019999999999999574,0.019999999999999574,-0.014745537,False,False,False,False,False,fatha
29,2,2,2,ح,ح,12.911,12.931000000000001,12.931000000000001,0.02000000000000135,0.02000000000000135,-17.214859,False,False,False,False,False,fatha
29,2,3,3,َ,َ,12.931000000000001,13.011000000000001,12.951,0.08000000000000007,0.019999999999999574,-16.685553,False,False,False,False,False,kasra
29,2,4,4,س,س,13.011000000000001,13.091000000000001,13.031,0.08000000000000007,0.019999999999999574,-0.12507573,False,False,False,False,False,kasra
29,2,5,5,ِ,ِ,13.091000000000001,13.231,13.131,0.1399999999999988,0.03999999999999915,-0.00014476833,False,False,False,False,False,fatha
29,2,6,6,ب,ب,13.231,13.291,13.251000000000001,0.0600000000000005,0.02000000000000135,-5.2569914e-05,False,False,False,False,False,fatha
29,2,7,7,َ,َ,13.291,13.391,13.331000000000001,0.09999999999999964,0.040000000000000924,-0.0040392936,False,False,False,False,False,none
29,2,8,8, ,|,13.391,13.451,13.451,0.0600000000000005,0.0600000000000005,-0.006809499,False,False,False,False,False,none
29,2,9,9,ٱ,ا,13.451,13.511000000000001,13.491,0.0600000000000005,0.03999999999999915,-0.054495513,False,False,False,False,False,none
29,2,10,10,ل,ل,13.511000000000001,14.011000000000001,13.551,0.5,0.03999999999999915,-0.010300394,False,True,False,False,False,fatha
29,2,11,11,ن,ن,14.011000000000001,14.051,14.051,0.03999999999999915,0.03999999999999915,-0.008454846,False,True,False,False,False,fatha
29,2,12,12,ّ,ّ,14.051,14.111,14.111,0.0600000000000005,0.0600000000000005,-0.05121005,False,False,False,False,False,fatha
29,2,13,13,َ,َ,14.111,14.171000000000001,14.151,0.0600000000000005,0.03999999999999915,-0.23485807,False,False,False,False,False,damma
29,2,14,14,ا,ا,14.171000000000001,14.431000000000001,14.211,0.2599999999999998,0.03999999999999915,-0.19808957,False,False,False,False,False,damma
29,2,15,15,س,س,14.431000000000001,14.511000000000001,14.451,0.08000000000000007,0.019999999999999574,-9.1667745e-05,False,False,False,False,False,damma
29,2,16,16,ُ,ُ,14.511000000000001,14.611,14.531,0.09999999999999964,0.019999999999999574,-0.0004123791,False,False,False,False,False,fatha
29,2,17,17, ,|,14.611,14.691,14.671000000000001,0.08000000000000007,0.0600000000000005,-0.07011528,False,False,False,False,False,fatha
