surah_no,verse_no,text,n_letters_aligned,ctc_mean_score,t_start,t_end,char_count,word_count,syllable_count,madd_count,emphatic_count,ghunnah_count,syllable_count_full,madd_count_full,emphatic_count_full,Duration_s,Mean_Pitch_Hz,Pitch_Variance,Pitch_Range_Hz,Pitch_Voiced_Frames,Pitch_Total_Frames,Mean_Intensity_dB,HNR_dB,Mean_RMS,Spectral_Centroid_Hz,Spectral_Rolloff85_Hz,Silence_before_s
41,-1,أَعُوذُ بِاللَّهِ مِنَ الشَّيْطَانِ الرَّجِيمِ,46,-6.940075874328613,2.144,7.664,46,5,14,0,1,0,14,3,1,5.52,188.80461008875184,18.195640246333788,102.66826692600873,422.0,549.0,69.22324195713134,14.730883470279895,0.11886776983737946,1757.5999721674016,3337.60838150289,0.0
41,1,بِسْمِ ٱللَّهِ ٱلرَّحْمَـٰنِ ٱلرَّحِيمِ حمٓ,42,-8.132779121398926,8.5606875,14.721874999999999,43,5,12,2,0,0,12,3,0,6.161125,178.009105894977,14.334873488924075,119.71268707841654,518.0,613.0,68.05947544201635,18.14796019778574,0.08595114946365356,1729.9334343707733,3236.479922279793,0.8966875000000005
41,2,تَنزِيلٌۭ مِّنَ ٱلرَّحْمَـٰنِ ٱلرَّحِيمِ,38,-10.856582641601562,14.521875,20.2235,40,4,11,1,0,2,12,3,0,5.701625,200.43591503042992,20.975254941991047,69.3763566159179,429.0,567.0,68.10354445581939,15.234980779729042,0.10599137842655182,1833.6592947940235,3338.9926675977654,0.0
41,3,كِتَـٰبٌۭ فُصِّلَتْ ءَايَـٰتُهُۥ قُرْءَانًا عَرَبِيًّۭا لِّقَوْمٍۢ يَعْلَمُونَ,72,-5.5948591232299805,20.0235,29.7751875,78,7,22,2,3,4,26,6,3,9.7516875,183.9092478039826,21.50128140402071,154.18800241663374,863.0,972.0,70.86029271917906,16.399054967617165,0.10287658125162125,1376.7292935503663,2744.9538934426228,0.0
41,4,بَشِيرًۭا وَنَذِيرًۭا فَأَعْرَضَ أَكْثَرُهُمْ فَهُمْ لَا يَسْمَعُونَ,66,-9.80776309967041,29.595187499999998,38.557625,68,7,20,0,1,2,22,4,1,8.9625,184.56952717196486,34.66750433911264,237.15378311135294,780.0,893.0,70.51192793119553,14.591192852457185,0.1107671931385994,1480.92033414073,2863.851201067616,0.0
41,5,وَقَالُوا۟ قُلُوبُنَا فِىٓ أَكِنَّةٍۢ مِّمَّا تَدْعُونَآ إِلَيْهِ وَفِىٓ ءَاذَانِنَا وَقْرٌۭ وَمِنۢ بَيْنِنَا وَبَيْنِكَ حِجَابٌۭ فَٱعْمَلْ إِنَّنَا عَـٰمِلُونَ,155,-3.545658588409424,38.357625,58.337625,161,17,50,4,3,7,53,18,3,19.98,183.17061146538106,15.421537164180675,138.5212595619568,1762.0,1995.0,69.77986103879306,16.53671086580171,0.11190111190080643,1534.1818779696198,2935.1125,0.0
41,6,قُلْ إِنَّمَآ أَنَا۠ بَشَرٌۭ مِّثْلُكُمْ يُوحَىٰٓ إِلَىَّ أَنَّمَآ إِلَـٰهُكُمْ إِلَـٰهٌۭ وَٰحِدٌۭ فَٱسْتَقِيمُوٓا۟ إِلَيْهِ وَٱسْتَغْفِرُوهُ ۗ وَوَيْلٌۭ لِّلْمُشْرِكِينَ,162,-4.147500991821289,59.4528125,81.28818749999999,172,16,54,8,2,7,58,16,3,21.8353125,184.61928765496938,19.42721959785876,158.6534295863595,1885.0,2180.0,70.80360424105893,16.937040963966876,0.12454479187726974,1655.5740233489785,3183.6223462664716,1.1151874999999976
41,7,ٱلَّذِينَ لَا يُؤْتُونَ ٱلزَّكَوٰةَ وَهُم بِٱلْـَٔاخِرَةِ هُمْ كَـٰفِرُونَ,71,-6.222479343414307,86.5881875,91.741,74,8,24,2,0,0,24,7,1,5.1528125,179.74440242067635,27.24300766380623,139.6764390772396,505.0,512.0,72.46211160528658,15.92004956292225,0.11454100161790848,1640.556346165851,3241.70524691358,5.300000000000011
41,8,إِنَّ ٱلَّذِينَ ءَامَنُوا۟ وَعَمِلُوا۟ ٱلصَّـٰلِحَـٰتِ لَهُمْ أَجْرٌ غَيْرُ مَمْنُونٍۢ,81,-2.709085464477539,95.36099999999999,102.6226875,86,9,25,2,1,3,27,7,2,7.26175,196.65784466397164,15.563843616789462,154.29464914312857,675.0,723.0,74.20791394450156,15.073509098657212,0.12734651565551758,1724.1561812125824,3209.560848017621,3.6199999999999903
41,9,قُلْ أَئِنَّكُمْ لَتَكْفُرُونَ بِٱلَّذِى خَلَقَ ٱلْأَرْضَ فِى يَوْمَيْنِ وَتَجْعَلُونَ لَهُۥٓ أَندَادًۭا ۚ ذَٰلِكَ رَبُّ ٱلْعَـٰلَمِينَ,130,-0.9532491564750671,104.4226875,121.252,135,14,43,3,3,2,44,7,4,16.8293125,162.43600281998263,23.029941894028116,256.13468886395265,1446.0,1679.0,69.28608792975372,15.083859605304788,0.09600391983985901,1483.425224373537,2943.396506653992,1.7999999999999972
