surah_no,verse_no,pos_in_clean,original_idx,uthmani_char,vocab_char,start_s,end_s,fire_end_s,duration_s,fire_duration_s,ctc_score,is_emphatic,has_shadda,has_small_alif_after,has_madd_sign_after,has_sukun,following_vowel
84,-1,0,0,أ,أ,0.1,0.14,0.12,0.04000000000000001,0.01999999999999999,-15.771142,False,False,False,False,False,fatha
84,-1,1,1,َ,َ,0.14,0.16,0.16,0.01999999999999999,0.01999999999999999,-12.957453,False,False,False,False,False,damma
84,-1,2,2,ع,ع,0.16,0.3,0.18,0.13999999999999999,0.01999999999999999,-14.775628,False,False,False,False,False,damma
84,-1,3,3,ُ,ُ,0.3,0.56,0.32,0.26000000000000006,0.020000000000000018,-16.75401,False,False,False,False,False,damma
84,-1,4,4,و,و,0.56,0.62,0.58,0.05999999999999994,0.019999999999999907,-15.263315,False,False,False,False,False,damma
84,-1,5,5,ذ,ذ,0.62,0.64,0.64,0.020000000000000018,0.020000000000000018,-14.074233,False,False,False,False,False,damma
84,-1,6,6,ُ,ُ,0.64,0.7000000000000001,0.66,0.06000000000000005,0.020000000000000018,-14.253009,False,False,False,False,False,kasra
84,-1,7,7, ,|,0.7000000000000001,0.74,0.74,0.039999999999999925,0.039999999999999925,-7.861257e-05,False,False,False,False,False,kasra
84,-1,8,8,ب,ب,0.74,0.76,0.76,0.020000000000000018,0.020000000000000018,-17.143587,False,False,False,False,False,kasra
84,-1,9,9,ِ,ِ,0.76,0.78,0.78,0.020000000000000018,0.020000000000000018,-17.078587,False,False,False,False,False,none
84,-1,10,10,ا,ا,0.78,0.8200000000000001,0.8,0.040000000000000036,0.020000000000000018,-0.12417918,False,False,False,False,False,none
84,-1,11,11,ل,ل,0.8200000000000001,1.06,0.86,0.24,0.039999999999999925,-0.0006874148,False,True,False,False,False,fatha
84,-1,12,12,ل,ل,1.06,1.1,1.08,0.040000000000000036,0.020000000000000018,-2.2530301e-05,False,True,False,False,False,fatha
84,-1,13,13,ّ,ّ,1.1,1.1400000000000001,1.12,0.040000000000000036,0.020000000000000018,-4.522205,False,False,False,False,False,fatha
84,-1,14,14,َ,َ,1.1400000000000001,1.52,1.16,0.3799999999999999,0.019999999999999796,-1.4900377,False,False,False,False,False,kasra
84,-1,15,15,ه,ه,1.52,1.6,1.54,0.08000000000000007,0.020000000000000018,-0.0003121604,False,False,False,False,False,kasra
84,-1,16,16,ِ,ِ,1.6,1.7,1.62,0.09999999999999987,0.020000000000000018,-2.1132476,False,False,False,False,False,kasra
84,-1,17,17, ,|,1.7,1.84,1.76,0.14000000000000012,0.06000000000000005,-0.011635102,False,False,False,False,False,kasra
84,-1,18,18,م,م,1.84,2.06,1.86,0.21999999999999997,0.020000000000000018,-8.952667,False,False,False,False,False,kasra
84,-1,19,19,ِ,ِ,2.06,2.54,2.08,0.48,0.020000000000000018,-17.09186,False,False,False,False,False,fatha
84,-1,20,20,ن,ن,2.54,2.62,2.56,0.08000000000000007,0.020000000000000018,-15.546931,False,False,False,False,False,fatha
84,-1,21,21,َ,َ,2.62,2.66,2.64,0.040000000000000036,0.020000000000000018,-2.6879196,False,False,False,False,False,none
84,-1,22,22, ,|,2.66,2.72,2.68,0.06000000000000005,0.020000000000000018,-7.84024,False,False,False,False,False,none
84,-1,23,23,ا,ا,2.72,3.1,2.74,0.3799999999999999,0.020000000000000018,-0.04647956,False,False,False,False,False,none
84,-1,24,24,ل,ل,3.1,3.62,3.12,0.52,0.020000000000000018,-0.098705366,False,True,False,False,False,fatha
84,-1,25,25,ش,ش,3.62,3.7,3.64,0.08000000000000007,0.020000000000000018,-13.828357,False,True,False,False,False,fatha
84,-1,26,26,ّ,ّ,3.7,3.72,3.72,0.020000000000000018,0.020000000000000018,-8.641893,False,False,False,False,False,fatha
84,-1,27,27,َ,َ,3.72,4.1,3.74,0.37999999999999945,0.020000000000000018,-0.27755484,False,False,False,False,True,sukun
84,-1,28,28,ي,ي,4.1,4.5600000000000005,4.14,0.46000000000000085,0.040000000000000036,-0.033966985,False,False,False,False,True,sukun
84,-1,29,29,ْ,ْ,4.5600000000000005,5.38,4.58,0.8199999999999994,0.019999999999999574,-15.774448,False,False,False,False,False,fatha
84,-1,30,30,ط,ط,5.38,5.4,5.4,0.020000000000000462,0.020000000000000462,-19.41215,True,False,False,False,False,fatha
84,-1,31,31,َ,َ,5.4,5.5,5.42,0.09999999999999964,0.019999999999999574,-18.260042,False,False,False,False,False,kasra
84,-1,32,32,ا,ا,5.5,5.7,5.5200000000000005,0.20000000000000018,0.020000000000000462,-14.3856,False,False,False,False,False,kasra
84,-1,33,33,ن,ن,5.7,5.8,5.72,0.09999999999999964,0.019999999999999574,-11.585989,False,False,False,False,False,kasra
84,-1,34,34,ِ,ِ,5.8,5.84,5.82,0.040000000000000036,0.020000000000000462,-13.4340925,False,False,False,False,False,none
84,-1,35,35, ,|,5.84,5.9,5.9,0.0600000000000005,0.0600000000000005,-0.0026064927,False,False,False,False,False,none
84,-1,36,36,ا,ا,5.9,5.94,5.92,0.040000000000000036,0.019999999999999574,-8.875146,False,False,False,False,False,none
84,-1,37,37,ل,ل,5.94,6.2,5.98,0.2599999999999998,0.040000000000000036,-0.043086886,False,True,False,False,False,fatha
84,-1,38,38,ر,ر,6.2,6.26,6.22,0.05999999999999961,0.019999999999999574,-17.853561,False,True,False,False,False,fatha
