surah_no,verse_no,pos_in_clean,original_idx,uthmani_char,vocab_char,start_s,end_s,fire_end_s,duration_s,fire_duration_s,ctc_score,is_emphatic,has_shadda,has_small_alif_after,has_madd_sign_after,has_sukun,following_vowel
100,-1,0,0,أ,أ,0.1,0.14,0.12,0.04000000000000001,0.01999999999999999,-15.523472,False,False,False,False,False,fatha
100,-1,1,1,َ,َ,0.14,0.16,0.16,0.01999999999999999,0.01999999999999999,-14.912793,False,False,False,False,False,damma
100,-1,2,2,ع,ع,0.16,0.32,0.18,0.16,0.01999999999999999,-18.947277,False,False,False,False,False,damma
100,-1,3,3,ُ,ُ,0.32,0.58,0.34,0.25999999999999995,0.020000000000000018,-17.777353,False,False,False,False,False,damma
100,-1,4,4,و,و,0.58,0.66,0.6,0.08000000000000007,0.020000000000000018,-14.925785,False,False,False,False,False,damma
100,-1,5,5,ذ,ذ,0.66,0.68,0.68,0.020000000000000018,0.020000000000000018,-17.509787,False,False,False,False,False,damma
100,-1,6,6,ُ,ُ,0.68,0.74,0.7000000000000001,0.05999999999999994,0.020000000000000018,-16.689499,False,False,False,False,False,kasra
100,-1,7,7, ,|,0.74,0.78,0.78,0.040000000000000036,0.040000000000000036,-0.16307567,False,False,False,False,False,kasra
100,-1,8,8,ب,ب,0.78,0.8,0.8,0.020000000000000018,0.020000000000000018,-17.27979,False,False,False,False,False,kasra
100,-1,9,9,ِ,ِ,0.8,0.8200000000000001,0.8200000000000001,0.020000000000000018,0.020000000000000018,-15.430006,False,False,False,False,False,none
100,-1,10,10,ا,ا,0.8200000000000001,0.86,0.84,0.039999999999999925,0.019999999999999907,-0.921481,False,False,False,False,False,none
100,-1,11,11,ل,ل,0.86,1.1,0.9,0.2400000000000001,0.040000000000000036,-0.00026013664,False,True,False,False,False,fatha
100,-1,12,12,ل,ل,1.1,1.1400000000000001,1.12,0.040000000000000036,0.020000000000000018,-1.9788546e-05,False,True,False,False,False,fatha
100,-1,13,13,ّ,ّ,1.1400000000000001,1.18,1.18,0.039999999999999813,0.039999999999999813,-0.12153929,False,False,False,False,False,fatha
100,-1,14,14,َ,َ,1.18,1.58,1.2,0.40000000000000013,0.020000000000000018,-0.01869054,False,False,False,False,False,kasra
100,-1,15,15,ه,ه,1.58,1.6600000000000001,1.6,0.08000000000000007,0.020000000000000018,-0.0005529782,False,False,False,False,False,kasra
100,-1,16,16,ِ,ِ,1.6600000000000001,1.68,1.68,0.019999999999999796,0.019999999999999796,-1.0537097,False,False,False,False,False,kasra
100,-1,17,17, ,|,1.68,1.7,1.7,0.020000000000000018,0.020000000000000018,-16.337547,False,False,False,False,False,kasra
100,-1,18,18,م,م,1.7,1.72,1.72,0.020000000000000018,0.020000000000000018,-14.434543,False,False,False,False,False,kasra
