corpus,N,delta_alpha,h_estimate,alpha_q-5,alpha_q-4,alpha_q-3,alpha_q-2,alpha_q-1,alpha_q0,alpha_q1,alpha_q2,alpha_q3,alpha_q4,alpha_q5,f_q-5,f_q-4,f_q-3,f_q-2,f_q-1,f_q0,f_q1,f_q2,f_q3,f_q4,f_q5
quran,6236,0.5099379584973884,1.0573192483403249,1.3098733526171786,1.2935665552598583,1.256539562939572,1.2110519142219158,1.1469009785016664,1.0573192483403249,0.9677351714873168,0.900236682616768,0.8513114190856541,0.8152171049438266,0.7999353941197902,0.5673876724137621,0.6326148618430434,0.7600026361612229,0.8716981285595011,0.9606165180344406,1.0,0.960614171342774,0.8650030222589025,0.7463398918788835,0.6227752386293646,0.561648395333219
poetry_jahili,2561,0.09550078162366527,0.66392965513836,0.7568745189598682,0.7448284562575922,0.7209707915184509,0.6988027160001897,0.6805275992030508,0.6679926878663307,0.6623089700736648,0.6623136667273704,0.66392965513836,0.6629236172300792,0.661373737336203,0.7754987056035305,0.8236829564126347,0.9073020133323348,0.9634497664057222,0.992081356684257,1.0,0.9989325502283113,1.000009393307411,1.0037852121149857,0.9992172184962671,0.9930176989207622
poetry_islami,10295,0.09635229075915186,0.7310822079764325,0.7914520756738561,0.7749514923247047,0.7485789487454484,0.7355414271000262,0.7319926628435625,0.7310822079764325,0.7283561335684811,0.7220037121133123,0.7123637482860391,0.7009885842233354,0.6950997849147043,0.7953349204825972,0.8613372538792028,0.9569554679661234,0.9929024714870724,0.9996167971588534,1.0,0.9978011776180319,0.9872951570896624,0.9625288646810435,0.9225145731843014,0.8989593759497767
poetry_abbasi,76499,0.06705922403858278,0.7146245591987359,0.7387879051242718,0.7353575422604124,0.7292049182246461,0.7242398073933766,0.7197169035025592,0.7146245591987359,0.7081639869628014,0.6999046576567295,0.6897592376943302,0.677976772980063,0.6717286810856891,0.9426920229573232,0.956413474412761,0.9783017093839192,0.9909541922183653,0.9977199457685453,1.0,0.9963517178364341,0.9834813413878563,0.9576561286431642,0.9160606426059887,0.8910682750284931
ksucca,1967,0.5715547559988028,0.9402653054945925,1.8354229461985936,1.8307031459392165,1.7972298245775213,1.6310242876575058,1.265072236012921,0.9402653054945925,0.801604763222831,0.7402007471775299,0.7126250876816785,0.698808638332463,0.6935174800141182,-0.21708766361349063,-0.19820846257598124,-0.09306869823151853,0.26809589671083023,0.7714999641731126,1.0,0.9576463524196795,0.8771919679093978,0.8135153578868244,0.7667748515208328,0.7456102182474535
arabic_bible,31083,0.23832738891067162,0.9807880400203772,1.177574751454868,1.1576547840836136,1.1053259231176376,1.0383337897857516,0.9872380059638615,0.9731096526559969,0.9807880400203772,0.9816401908248803,0.9636717934535219,0.9347364185190608,0.9193273951729419,0.474828852343526,0.5545087218285438,0.7314152720977263,0.8978084323562197,0.9834874559152742,1.0,1.005294196587519,1.0017043016090061,0.9522411552779468,0.8500260071284447,0.7883899137439698
hindawi,1793,0.29676157907480905,0.574970693288349,0.7690277723296499,0.744795891798955,0.6814555361533037,0.6120121542754373,0.5757868211620412,0.574970693288349,0.5799385761340174,0.5652552753368753,0.5249112336729482,0.47358919494959184,0.44803431272414596,0.43837362531209,0.5353011474348697,0.7495540949025186,0.9275493337732077,0.9941095736495138,1.0,0.9998935843688743,0.9706333984057156,0.8641781585799511,0.684657160184436,0.5824376312826525
