source,family,T,EL,L
ctrl,poetry_islami,-3.346200,0.047619,-3.106201
ctrl,poetry_islami,-3.128034,0.058824,-2.943122
ctrl,poetry_islami,-2.437145,0.000000,-2.820784
ctrl,poetry_islami,-1.297185,0.428571,-0.422346
ctrl,poetry_islami,-2.741626,0.100000,-2.565140
ctrl,poetry_islami,-1.662302,0.066667,-2.129292
ctrl,poetry_islami,-3.517702,0.033333,-3.257290
ctrl,poetry_islami,-2.543630,0.045455,-2.687575
ctrl,poetry_islami,-2.533561,0.093023,-2.483422
ctrl,poetry_islami,-2.316879,0.250000,-1.711959
ctrl,poetry_islami,-3.156276,0.037037,-3.049216
ctrl,poetry_islami,-2.363468,0.090909,-2.401619
ctrl,poetry_islami,-2.190630,0.114286,-2.211828
ctrl,poetry_islami,-2.819470,0.155556,-2.374457
ctrl,poetry_islami,-2.711431,0.121951,-2.457317
ctrl,poetry_islami,-2.816623,0.085714,-2.664803
ctrl,poetry_islami,-2.675695,0.097222,-2.541615
ctrl,poetry_islami,-2.429952,0.121212,-2.310412
ctrl,poetry_islami,-2.096893,0.138889,-2.059062
ctrl,poetry_islami,-2.917460,0.000000,-3.076733
ctrl,poetry_islami,-2.384383,0.129032,-2.253449
ctrl,poetry_islami,-2.468890,0.042857,-2.658602
ctrl,poetry_islami,-2.070780,0.119048,-2.128062
ctrl,poetry_islami,-2.879497,0.111111,-2.592175
ctrl,poetry_islami,-2.529627,0.077778,-2.545036
ctrl,poetry_islami,-2.667363,0.037037,-2.788686
ctrl,poetry_islami,-2.133489,0.066667,-2.380376
ctrl,poetry_islami,-2.350781,0.266667,-1.660375
ctrl,poetry_islami,-2.599106,0.125000,-2.384720
ctrl,poetry_islami,-2.250406,0.058824,-2.475455
ctrl,poetry_islami,-2.363436,0.037037,-2.626731
ctrl,poetry_islami,-2.631319,0.100000,-2.506360
ctrl,poetry_islami,-2.821176,0.142857,-2.428432
ctrl,poetry_islami,-2.631319,0.100000,-2.506360
ctrl,poetry_islami,-3.528791,0.075000,-3.089076
ctrl,poetry_islami,-2.331124,0.083333,-2.416042
ctrl,poetry_islami,-2.217744,0.057692,-2.462777
ctrl,poetry_islami,-1.698078,0.272727,-1.287238
ctrl,poetry_islami,-2.666604,0.071429,-2.644561
ctrl,poetry_islami,-1.542196,0.071429,-2.045390
ctrl,poetry_islami,-2.800123,0.125000,-2.491838
ctrl,poetry_islami,-3.056565,0.000000,-3.150859
ctrl,poetry_islami,-2.453717,0.055556,-2.597451
ctrl,poetry_islami,-3.161378,0.000000,-3.206711
ctrl,poetry_islami,-2.300077,0.159091,-2.082910
ctrl,poetry_islami,-2.337977,0.032258,-2.633135
ctrl,poetry_islami,-2.443910,0.122807,-2.311184
ctrl,poetry_islami,-2.354787,0.085714,-2.418702
ctrl,poetry_islami,-1.948008,0.090909,-2.180230
ctrl,poetry_islami,-2.270156,0.176471,-1.994337
ctrl,poetry_islami,-2.599922,0.058824,-2.661703
ctrl,poetry_islami,-2.944813,0.075000,-2.777887
ctrl,poetry_islami,-2.820628,0.107143,-2.577388
ctrl,poetry_islami,-2.915023,0.058824,-2.829614
ctrl,poetry_islami,-2.583597,0.142857,-2.301832
ctrl,poetry_islami,-3.226023,0.074074,-2.931607
ctrl,poetry_islami,-1.755910,0.142857,-1.860777
ctrl,poetry_islami,-1.557029,0.140625,-1.764126
ctrl,poetry_islami,-2.344870,0.066667,-2.493016
ctrl,poetry_islami,-3.125233,0.148148,-2.568346
ctrl,poetry_islami,-3.111518,0.076923,-2.858684
ctrl,poetry_islami,-2.144986,0.071429,-2.366603
ctrl,poetry_islami,-2.357358,0.160000,-2.109635
ctrl,poetry_islami,-2.602767,0.043011,-2.729301
ctrl,poetry_islami,-2.577386,0.157895,-2.235681
ctrl,poetry_islami,-1.932405,0.133333,-1.994626
ctrl,poetry_islami,-1.583397,0.189474,-1.574040
ctrl,poetry_islami,-2.187499,0.135135,-2.123030
ctrl,poetry_islami,-2.406398,0.214286,-1.908910
ctrl,poetry_islami,-2.691900,0.108434,-2.503398
ctrl,poetry_islami,-3.038208,0.000000,-3.141077
ctrl,poetry_islami,-2.582817,0.129032,-2.359190
ctrl,poetry_islami,-2.415360,0.085714,-2.450980
ctrl,poetry_islami,-2.531352,0.047619,-2.671987
ctrl,poetry_islami,-3.377600,0.031250,-3.191339
ctrl,poetry_islami,-2.219814,0.086957,-2.341587
ctrl,poetry_islami,-2.016966,0.136364,-2.027023
ctrl,poetry_islami,-3.346512,0.000000,-3.305365
ctrl,poetry_islami,-3.099537,0.058824,-2.927937
ctrl,poetry_islami,-2.520177,0.155556,-2.214971
ctrl,poetry_islami,-2.878931,0.063830,-2.789460
ctrl,poetry_islami,-2.089028,0.131579,-2.085418
ctrl,poetry_islami,-2.434810,0.000000,-2.819540
ctrl,poetry_islami,-2.525938,0.142857,-2.271107
ctrl,poetry_islami,-2.303655,0.142857,-2.152657
ctrl,poetry_islami,-3.147821,0.083333,-2.851241
ctrl,poetry_islami,-2.329134,0.128205,-2.227464
ctrl,poetry_islami,-2.225142,0.157895,-2.047978
ctrl,poetry_islami,-2.511873,0.235294,-1.877322
ctrl,poetry_islami,-2.837683,0.058824,-2.788401
ctrl,poetry_islami,-2.883260,0.028571,-2.939110
ctrl,poetry_islami,-2.951734,0.095238,-2.697001
ctrl,poetry_islami,-2.708189,0.071429,-2.666721
ctrl,poetry_islami,-2.246725,0.235294,-1.736030
ctrl,poetry_islami,-2.858696,0.072727,-2.741495
ctrl,poetry_islami,-2.752083,0.166667,-2.292115
ctrl,poetry_islami,-2.953039,0.050000,-2.886745
ctrl,poetry_islami,-3.052008,0.029851,-3.023686
ctrl,poetry_islami,-2.483459,0.106061,-2.402241
ctrl,poetry_islami,-2.760478,0.064516,-2.723471
ctrl,poetry_islami,-2.496158,0.100000,-2.434335
ctrl,poetry_islami,-2.375013,0.022727,-2.692700
ctrl,poetry_islami,-2.627439,0.154930,-2.274744
ctrl,poetry_islami,-2.455313,0.133333,-2.273272
ctrl,poetry_islami,-2.905863,0.065217,-2.798013
ctrl,poetry_islami,-2.625512,0.044444,-2.735430
ctrl,poetry_islami,-2.362733,0.194444,-1.968557
ctrl,poetry_islami,-2.586593,0.177778,-2.157497
ctrl,poetry_islami,-2.470704,0.050000,-2.629719
ctrl,poetry_islami,-2.682859,0.054945,-2.722107
ctrl,poetry_islami,-1.817177,0.098361,-2.079373
ctrl,poetry_islami,-2.467561,0.086957,-2.473605
ctrl,poetry_islami,-2.112151,0.000000,-2.647603
ctrl,poetry_islami,-2.196779,0.045455,-2.502747
ctrl,poetry_islami,-3.006508,0.000000,-3.124185
ctrl,poetry_islami,-2.020767,0.318182,-1.269239
ctrl,poetry_islami,-1.758302,0.050000,-2.250097
ctrl,poetry_islami,-2.406651,0.100000,-2.386639
ctrl,poetry_islami,-2.808298,0.086957,-2.655176
ctrl,poetry_islami,-2.035406,0.157895,-1.946872
ctrl,poetry_islami,-2.863262,0.095238,-2.649857
ctrl,poetry_islami,-2.825217,0.090909,-2.647674
